func	1:24	8:0	0	void	get_bits1_vector
params	1:45	0:0	1	
param	1:46	1:63	2	GetBitContext *	gb
param	1:65	1:77	2	uint8_t *	vec
param	2:46	2:58	2	int	elements
stmnts	0:0	7:4	1	
decl	4:4	4:9	2	int	i
for	5:4	7:4	2	(i = 0 ;i < elements;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < elements
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	elements
forexpr	5:30	5:31	3	i ++
water	5:30	0:0	4	i
op	5:31	0:0	4	++
stmts	5:35	7:4	3	
water	5:35	0:0	4	{
water	6:8	0:0	4	vec
op	6:11	0:0	4	[
water	6:12	0:0	4	i
op	6:13	0:0	4	]
op	6:15	0:0	4	=
call	6:17	6:29	4	get_bits1
arg	6:27	6:29	5	gb
water	6:27	0:0	6	gb
water	6:30	0:0	4	;
water	7:4	0:0	4	}
