func	1:0	6:0	0	static void	sum_square_butterfly
params	1:32	0:0	1	
param	1:33	1:52	2	AC3EncodeContext *	s
param	1:54	1:66	2	float	sum[4]
param	2:33	2:51	2	const float *	coef0
param	2:53	2:71	2	const float *	coef1
param	3:33	3:40	2	int	len
stmnts	5:4	5:64	1	
call	5:4	5:63	2	s->ac3dsp.sum_square_butterfly_float
arg	5:41	5:44	3	sum
water	5:41	0:0	4	sum
arg	5:46	5:51	3	coef0
water	5:46	0:0	4	coef0
arg	5:53	5:58	3	coef1
water	5:53	0:0	4	coef1
arg	5:60	5:63	3	len
water	5:60	0:0	4	len
water	5:64	0:0	2	;
