func	1:0	8:0	0	void	ff_weighted_vector_sumf
params	1:28	0:0	1	
param	1:29	1:39	2	float *	out
param	1:41	1:58	2	const float *	in_a
param	1:60	1:77	2	const float *	in_b
param	2:29	2:49	2	float	weight_coeff_a
param	2:51	2:71	2	float	weight_coeff_b
param	2:73	2:83	2	int	length
stmnts	0:0	7:41	1	
decl	4:4	4:9	2	int	i
for	5:4	7:41	2	(i = 0 ;i < length;i ++)
forinit	5:8	5:11	3	i = 0 ;
water	5:8	0:0	4	i
op	5:9	0:0	4	=
water	5:10	0:0	4	0
water	5:11	0:0	4	;
cond	5:13	5:15	3	i < length
water	5:13	0:0	4	i
op	5:14	0:0	4	<
water	5:15	0:0	4	length
forexpr	5:23	5:24	3	i ++
water	5:23	0:0	4	i
op	5:24	0:0	4	++
stmts	6:8	7:41	3	
water	6:8	0:0	4	out
op	6:11	0:0	4	[
water	6:12	0:0	4	i
op	6:13	0:0	4	]
op	6:15	0:0	4	=
water	6:17	0:0	4	weight_coeff_a
op	6:32	0:0	4	*
water	6:34	0:0	4	in_a
op	6:38	0:0	4	[
water	6:39	0:0	4	i
op	6:40	0:0	4	]
op	7:15	0:0	4	+
water	7:17	0:0	4	weight_coeff_b
op	7:32	0:0	4	*
water	7:34	0:0	4	in_b
op	7:38	0:0	4	[
water	7:39	0:0	4	i
op	7:40	0:0	4	]
water	7:41	0:0	4	;
