func	1:0	9:0	0	static int	process_command
params	1:26	0:0	1	
param	1:27	1:47	2	AVFilterContext *	ctx
param	1:49	1:64	2	const char *	cmd
param	1:66	1:82	2	const char *	args
param	2:27	2:36	2	char *	res
param	2:38	2:49	2	int	res_len
param	2:51	2:60	2	int	flags
stmnts	0:0	8:40	1	
decl	4:4	4:21	2	LADSPA_Data	value
decl	5:4	5:22	2	unsigned long	port
if	6:4	7:30	2	(sscanf (cmd ,"c%ld" ,& port ) +sscanf (args ,"%f" ,& value ) != 2)
cond	6:8	6:67	3	sscanf (cmd ,"c%ld" ,& port ) +sscanf (args ,"%f" ,& value ) != 2
call	6:8	6:33	4	sscanf
arg	6:15	6:18	5	cmd
water	6:15	0:0	6	cmd
arg	6:20	6:26	5	"c%ld"
water	6:20	0:0	6	"c%ld"
arg	6:28	6:33	5	&port
op	6:28	0:0	6	&
water	6:29	0:0	6	port
op	6:35	0:0	4	+
call	6:37	6:62	4	sscanf
arg	6:44	6:48	5	args
water	6:44	0:0	6	args
arg	6:50	6:54	5	"%f"
water	6:50	0:0	6	"%f"
arg	6:56	6:62	5	&value
op	6:56	0:0	6	&
water	6:57	0:0	6	value
op	6:64	0:0	4	!=
water	6:67	0:0	4	2
stmts	7:8	7:30	3	
return	7:8	7:30	4	AVERROR(EINVAL)
call	7:15	7:29	5	AVERROR
arg	7:23	7:29	6	EINVAL
water	7:23	0:0	7	EINVAL
return	8:4	8:40	2	set_control(ctx,port,value)
call	8:11	8:39	3	set_control
arg	8:23	8:26	4	ctx
water	8:23	0:0	5	ctx
arg	8:28	8:32	4	port
water	8:28	0:0	5	port
arg	8:34	8:39	4	value
water	8:34	0:0	5	value
