func	1:0	5:0	0	int	avfilter_open
params	1:17	0:0	1	
param	1:18	1:46	2	AVFilterContext * *	filter_ctx
param	1:48	1:64	2	AVFilter *	filter
param	1:66	1:87	2	const char *	inst_name
stmnts	3:4	4:44	1	
op	3:4	0:0	2	*
water	3:5	0:0	2	filter_ctx
op	3:16	0:0	2	=
call	3:18	3:51	2	ff_filter_alloc
arg	3:34	3:40	3	filter
water	3:34	0:0	4	filter
arg	3:42	3:51	3	inst_name
water	3:42	0:0	4	inst_name
water	3:52	0:0	2	;
return	4:4	4:44	2	*filter_ctx?0:AVERROR(ENOMEM)
op	4:11	0:0	3	*
water	4:12	0:0	3	filter_ctx
water	4:23	0:0	3	?
water	4:25	0:0	3	0
water	4:27	0:0	3	:
call	4:29	4:43	3	AVERROR
arg	4:37	4:43	4	ENOMEM
water	4:37	0:0	5	ENOMEM
