func	1:0	40:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:13	2	void
stmnts	0:0	39:12	1	
decl	3:4	3:14	2	AVBPrint	b
decl	4:4	4:17	2	char	buf[256]
decl	5:4	5:72	2	struct tm	testtime
op	5:23	0:0	2	=
water	5:25	0:0	2	{
op	5:27	0:0	2	.
water	5:28	0:0	2	tm_year
op	5:36	0:0	2	=
water	5:38	0:0	2	100
water	5:41	0:0	2	,
op	5:43	0:0	2	.
water	5:44	0:0	2	tm_mon
op	5:51	0:0	2	=
water	5:53	0:0	2	11
water	5:55	0:0	2	,
op	5:57	0:0	2	.
water	5:58	0:0	2	tm_mday
op	5:66	0:0	2	=
water	5:68	0:0	2	20
water	5:71	0:0	2	}
call	6:4	6:28	2	av_bprint_init
arg	6:19	6:21	3	&b
op	6:19	0:0	4	&
water	6:20	0:0	4	b
arg	6:23	6:24	3	0
water	6:23	0:0	4	0
arg	6:26	6:28	3	-1
op	6:26	0:0	4	-
water	6:27	0:0	4	1
water	6:29	0:0	2	;
call	7:4	7:23	2	bprint_pascal
arg	7:18	7:20	3	&b
op	7:18	0:0	4	&
water	7:19	0:0	4	b
arg	7:22	7:23	3	5
water	7:22	0:0	4	5
water	7:24	0:0	2	;
call	8:4	8:84	2	printf
arg	8:11	8:52	3	"Short text in unlimited buffer: %u/%u\n"
water	8:11	0:0	4	"Short text in unlimited buffer: %u/%u\n"
arg	8:54	8:77	3	(unsigned)strlen(b.str)
water	8:54	0:0	4	(
water	8:55	0:0	4	unsigned
water	8:63	0:0	4	)
call	8:64	8:76	4	strlen
arg	8:71	8:76	5	b.str
water	8:71	0:0	6	b
op	8:72	0:0	6	.
water	8:73	0:0	6	str
arg	8:79	8:84	3	b.len
water	8:79	0:0	4	b
op	8:80	0:0	4	.
water	8:81	0:0	4	len
water	8:85	0:0	2	;
call	9:4	9:24	2	printf
arg	9:11	9:17	3	"%s\n"
water	9:11	0:0	4	"%s\n"
arg	9:19	9:24	3	b.str
water	9:19	0:0	4	b
op	9:20	0:0	4	.
water	9:21	0:0	4	str
water	9:25	0:0	2	;
call	10:4	10:31	2	av_bprint_finalize
arg	10:23	10:25	3	&b
op	10:23	0:0	4	&
water	10:24	0:0	4	b
arg	10:27	10:31	3	NULL
water	10:27	0:0	4	NULL
water	10:32	0:0	2	;
call	11:4	11:28	2	av_bprint_init
arg	11:19	11:21	3	&b
op	11:19	0:0	4	&
water	11:20	0:0	4	b
arg	11:23	11:24	3	0
water	11:23	0:0	4	0
arg	11:26	11:28	3	-1
op	11:26	0:0	4	-
water	11:27	0:0	4	1
water	11:29	0:0	2	;
call	12:4	12:24	2	bprint_pascal
arg	12:18	12:20	3	&b
op	12:18	0:0	4	&
water	12:19	0:0	4	b
arg	12:22	12:24	3	25
water	12:22	0:0	4	25
water	12:25	0:0	2	;
call	13:4	13:83	2	printf
arg	13:11	13:51	3	"Long text in unlimited buffer: %u/%u\n"
water	13:11	0:0	4	"Long text in unlimited buffer: %u/%u\n"
arg	13:53	13:76	3	(unsigned)strlen(b.str)
water	13:53	0:0	4	(
water	13:54	0:0	4	unsigned
water	13:62	0:0	4	)
call	13:63	13:75	4	strlen
arg	13:70	13:75	5	b.str
water	13:70	0:0	6	b
op	13:71	0:0	6	.
water	13:72	0:0	6	str
arg	13:78	13:83	3	b.len
water	13:78	0:0	4	b
op	13:79	0:0	4	.
water	13:80	0:0	4	len
water	13:84	0:0	2	;
call	14:4	14:31	2	av_bprint_finalize
arg	14:23	14:25	3	&b
op	14:23	0:0	4	&
water	14:24	0:0	4	b
arg	14:27	14:31	3	NULL
water	14:27	0:0	4	NULL
water	14:32	0:0	2	;
call	15:4	15:30	2	av_bprint_init
arg	15:19	15:21	3	&b
op	15:19	0:0	4	&
water	15:20	0:0	4	b
arg	15:23	15:24	3	0
water	15:23	0:0	4	0
arg	15:26	15:30	3	2048
water	15:26	0:0	4	2048
water	15:31	0:0	2	;
call	16:4	16:24	2	bprint_pascal
arg	16:18	16:20	3	&b
op	16:18	0:0	4	&
water	16:19	0:0	4	b
arg	16:22	16:24	3	25
water	16:22	0:0	4	25
water	16:25	0:0	2	;
call	17:4	17:81	2	printf
arg	17:11	17:49	3	"Long text in limited buffer: %u/%u\n"
water	17:11	0:0	4	"Long text in limited buffer: %u/%u\n"
arg	17:51	17:74	3	(unsigned)strlen(b.str)
water	17:51	0:0	4	(
water	17:52	0:0	4	unsigned
water	17:60	0:0	4	)
call	17:61	17:73	4	strlen
arg	17:68	17:73	5	b.str
water	17:68	0:0	6	b
op	17:69	0:0	6	.
water	17:70	0:0	6	str
arg	17:76	17:81	3	b.len
water	17:76	0:0	4	b
op	17:77	0:0	4	.
