struct	3:10	3:48	0	<anonymous_3:10>
decl	3:19	3:35	1	const char	*name
decl	3:37	3:46	1	int	level
decl	3:10	13:5	0	<anonymous_3:10>	log_levels[]
op	3:63	0:0	0	=
water	3:65	0:0	0	{
water	4:8	0:0	0	{
water	4:10	0:0	0	"quiet"
water	4:19	0:0	0	,
water	4:21	0:0	0	AV_LOG_QUIET
water	4:36	0:0	0	}
water	4:37	0:0	0	,
water	5:8	0:0	0	{
water	5:10	0:0	0	"panic"
water	5:19	0:0	0	,
water	5:21	0:0	0	AV_LOG_PANIC
water	5:36	0:0	0	}
water	5:37	0:0	0	,
water	6:8	0:0	0	{
water	6:10	0:0	0	"fatal"
water	6:19	0:0	0	,
water	6:21	0:0	0	AV_LOG_FATAL
water	6:36	0:0	0	}
water	6:37	0:0	0	,
water	7:8	0:0	0	{
water	7:10	0:0	0	"error"
water	7:19	0:0	0	,
water	7:21	0:0	0	AV_LOG_ERROR
water	7:36	0:0	0	}
water	7:37	0:0	0	,
water	8:8	0:0	0	{
water	8:10	0:0	0	"warning"
water	8:19	0:0	0	,
water	8:21	0:0	0	AV_LOG_WARNING
water	8:36	0:0	0	}
water	8:37	0:0	0	,
water	9:8	0:0	0	{
water	9:10	0:0	0	"info"
water	9:19	0:0	0	,
water	9:21	0:0	0	AV_LOG_INFO
water	9:36	0:0	0	}
water	9:37	0:0	0	,
water	10:8	0:0	0	{
water	10:10	0:0	0	"verbose"
water	10:19	0:0	0	,
water	10:21	0:0	0	AV_LOG_VERBOSE
water	10:36	0:0	0	}
water	10:37	0:0	0	,
water	11:8	0:0	0	{
water	11:10	0:0	0	"debug"
water	11:19	0:0	0	,
water	11:21	0:0	0	AV_LOG_DEBUG
water	11:36	0:0	0	}
water	11:37	0:0	0	,
water	12:8	0:0	0	{
water	12:10	0:0	0	"trace"
water	12:19	0:0	0	,
water	12:21	0:0	0	AV_LOG_TRACE
water	12:36	0:0	0	}
water	12:37	0:0	0	,
water	13:4	0:0	0	}
