func	1:0	6:0	0	int	show_buildconf
params	1:18	0:0	1	
param	1:19	1:31	2	void *	optctx
param	1:33	1:48	2	const char *	opt
param	1:50	1:65	2	const char *	arg
stmnts	3:4	5:12	1	
call	3:4	3:41	2	av_log_set_callback
arg	3:24	3:41	3	log_callback_help
water	3:24	0:0	4	log_callback_help
water	3:42	0:0	2	;
call	4:4	4:47	2	print_buildconf
arg	4:26	4:34	3	INDENT|0
water	4:26	0:0	4	INDENT
op	4:32	0:0	4	|
water	4:33	0:0	4	0
arg	4:36	4:47	3	AV_LOG_INFO
water	4:36	0:0	4	AV_LOG_INFO
water	4:48	0:0	2	;
return	5:4	5:12	2	0
water	5:11	0:0	3	0
