func	1:0	6:0	0	static void	quantize_c
params	1:22	0:0	1	
param	1:23	1:35	2	int16_t *	dst
param	1:37	1:53	2	const float *	src
param	1:55	1:68	2	float *	dither
param	1:70	1:77	2	int	len
stmnts	0:0	5:70	1	
decl	3:4	3:9	2	int	i
for	4:4	5:70	2	(i = 0 ;i < len;i ++)
forinit	4:9	4:14	3	i = 0 ;
water	4:9	0:0	4	i
op	4:11	0:0	4	=
water	4:13	0:0	4	0
water	4:14	0:0	4	;
cond	4:16	4:20	3	i < len
water	4:16	0:0	4	i
op	4:18	0:0	4	<
water	4:20	0:0	4	len
forexpr	4:25	4:26	3	i ++
water	4:25	0:0	4	i
op	4:26	0:0	4	++
stmts	5:8	5:70	3	
water	5:8	0:0	4	dst
op	5:11	0:0	4	[
water	5:12	0:0	4	i
op	5:13	0:0	4	]
op	5:15	0:0	4	=
call	5:17	5:69	4	av_clip_int16
arg	5:31	5:69	5	lrintf(src[i]*S16_SCALE+dither[i])
call	5:31	5:68	6	lrintf
arg	5:38	5:68	7	src[i]*S16_SCALE+dither[i]
water	5:38	0:0	8	src
op	5:41	0:0	8	[
water	5:42	0:0	8	i
op	5:43	0:0	8	]
op	5:45	0:0	8	*
water	5:47	0:0	8	S16_SCALE
op	5:57	0:0	8	+
water	5:59	0:0	8	dither
op	5:65	0:0	8	[
water	5:66	0:0	8	i
op	5:67	0:0	8	]
water	5:70	0:0	4	;
