func	1:0	12:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:13	2	void
stmnts	0:0	11:12	1	
decl	3:4	3:9	2	int	i
for	4:4	7:4	2	(i = 0 ;i <FF_ARRAY_ELEMS (error_entries );i ++)
forinit	4:9	4:14	3	i = 0 ;
water	4:9	0:0	4	i
op	4:11	0:0	4	=
water	4:13	0:0	4	0
water	4:14	0:0	4	;
cond	4:16	4:48	3	i <FF_ARRAY_ELEMS (error_entries )
water	4:16	0:0	4	i
op	4:18	0:0	4	<
call	4:20	4:48	4	FF_ARRAY_ELEMS
arg	4:35	4:48	5	error_entries
water	4:35	0:0	6	error_entries
forexpr	4:51	4:52	3	i ++
water	4:51	0:0	4	i
op	4:52	0:0	4	++
stmts	4:56	7:4	3	
water	4:56	0:0	4	{
decl	5:8	5:59	4	const struct error_entry	*entry
op	5:40	0:0	4	=
op	5:42	0:0	4	&
water	5:43	0:0	4	error_entries
op	5:56	0:0	4	[
water	5:57	0:0	4	i
op	5:58	0:0	4	]
call	6:8	6:78	4	printf
arg	6:15	6:30	5	"%d: %s [%s]\n"
water	6:15	0:0	6	"%d: %s [%s]\n"
arg	6:32	6:42	5	entry->num
water	6:32	0:0	6	entry
op	6:37	0:0	6	->
water	6:39	0:0	6	num
arg	6:44	6:66	5	av_err2str(entry->num)
call	6:44	6:65	6	av_err2str
arg	6:55	6:65	7	entry->num
water	6:55	0:0	8	entry
op	6:60	0:0	8	->
water	6:62	0:0	8	num
arg	6:68	6:78	5	entry->tag
water	6:68	0:0	6	entry
op	6:73	0:0	6	->
water	6:75	0:0	6	tag
water	6:79	0:0	4	;
water	7:4	0:0	4	}
for	8:4	10:4	2	(i = 0 ;i < 256;i ++)
forinit	8:9	8:14	3	i = 0 ;
water	8:9	0:0	4	i
op	8:11	0:0	4	=
water	8:13	0:0	4	0
water	8:14	0:0	4	;
cond	8:16	8:20	3	i < 256
water	8:16	0:0	4	i
op	8:18	0:0	4	<
water	8:20	0:0	4	256
forexpr	8:25	8:26	3	i ++
water	8:25	0:0	4	i
op	8:26	0:0	4	++
stmts	8:30	10:4	3	
water	8:30	0:0	4	{
call	9:8	9:45	4	printf
arg	9:15	9:25	5	"%d: %s\n"
water	9:15	0:0	6	"%d: %s\n"
arg	9:27	9:29	5	-i
op	9:27	0:0	6	-
water	9:28	0:0	6	i
arg	9:31	9:45	5	av_err2str(-i)
call	9:31	9:44	6	av_err2str
arg	9:42	9:44	7	-i
op	9:42	0:0	8	-
water	9:43	0:0	8	i
water	9:46	0:0	4	;
water	10:4	0:0	4	}
return	11:4	11:12	2	0
water	11:11	0:0	3	0
