func	1:0	6:0	0	static int	opt_add_vfilter
params	1:26	0:0	1	
param	1:27	1:39	2	void *	optctx
param	1:41	1:56	2	const char *	opt
param	1:58	1:73	2	const char *	arg
stmnts	3:4	5:12	1	
call	3:4	3:41	2	GROW_ARRAY
arg	3:15	3:28	3	vfilters_list
water	3:15	0:0	4	vfilters_list
arg	3:30	3:41	3	nb_vfilters
water	3:30	0:0	4	nb_vfilters
water	3:42	0:0	2	;
water	4:4	0:0	2	vfilters_list
op	4:17	0:0	2	[
water	4:18	0:0	2	nb_vfilters
op	4:30	0:0	2	-
water	4:32	0:0	2	1
op	4:33	0:0	2	]
op	4:35	0:0	2	=
water	4:37	0:0	2	arg
water	4:40	0:0	2	;
return	5:4	5:12	2	0
water	5:11	0:0	3	0
