func	1:0	5:0	0	static int	opt_frame_pix_fmt
params	1:28	0:0	1	
param	1:29	1:41	2	void *	optctx
param	1:43	1:58	2	const char *	opt
param	1:60	1:75	2	const char *	arg
stmnts	3:4	4:49	1	
call	3:4	3:86	2	av_log
arg	3:11	3:15	3	NULL
water	3:11	0:0	4	NULL
arg	3:17	3:31	3	AV_LOG_WARNING
water	3:17	0:0	4	AV_LOG_WARNING
arg	3:33	3:86	3	"Option -pix_fmt is deprecated, use -pixel_format.\n"
water	3:33	0:0	4	"Option -pix_fmt is deprecated, use -pixel_format.\n"
water	3:87	0:0	2	;
return	4:4	4:49	2	opt_default(NULL,"pixel_format",arg)
call	4:11	4:48	3	opt_default
arg	4:23	4:27	4	NULL
water	4:23	0:0	5	NULL
arg	4:29	4:43	4	"pixel_format"
water	4:29	0:0	5	"pixel_format"
arg	4:45	4:48	4	arg
water	4:45	0:0	5	arg
