func	1:0	5:0	0	static int	opt_height
params	1:21	0:0	1	
param	1:22	1:34	2	void *	optctx
param	1:36	1:51	2	const char *	opt
param	1:53	1:68	2	const char *	arg
stmnts	3:4	4:12	1	
water	3:4	0:0	2	screen_height
op	3:18	0:0	2	=
call	3:20	3:71	2	parse_number_or_die
arg	3:40	3:43	3	opt
water	3:40	0:0	4	opt
arg	3:45	3:48	3	arg
water	3:45	0:0	4	arg
arg	3:50	3:59	3	OPT_INT64
water	3:50	0:0	4	OPT_INT64
arg	3:61	3:62	3	1
water	3:61	0:0	4	1
arg	3:64	3:71	3	INT_MAX
water	3:64	0:0	4	INT_MAX
water	3:72	0:0	2	;
return	4:4	4:12	2	0
water	4:11	0:0	3	0
