func	1:0	5:0	0	static int	opt_width
params	1:20	0:0	1	
param	1:21	1:33	2	void *	optctx
param	1:35	1:50	2	const char *	opt
param	1:52	1:67	2	const char *	arg
stmnts	3:4	4:12	1	
water	3:4	0:0	2	screen_width
op	3:17	0:0	2	=
call	3:19	3:70	2	parse_number_or_die
arg	3:39	3:42	3	opt
water	3:39	0:0	4	opt
arg	3:44	3:47	3	arg
water	3:44	0:0	4	arg
arg	3:49	3:58	3	OPT_INT64
water	3:49	0:0	4	OPT_INT64
arg	3:60	3:61	3	1
water	3:60	0:0	4	1
arg	3:63	3:70	3	INT_MAX
water	3:63	0:0	4	INT_MAX
water	3:71	0:0	2	;
return	4:4	4:12	2	0
water	4:11	0:0	3	0
