func	1:0	7:0	0	static void	set_default_window_size
params	1:35	0:0	1	
param	1:36	1:45	2	int	width
param	1:47	1:57	2	int	height
param	1:59	1:73	2	AVRational	sar
stmnts	0:0	6:27	1	
decl	3:4	3:17	2	SDL_Rect	rect
call	4:4	4:75	2	calculate_display_rect
arg	4:27	4:32	3	&rect
op	4:27	0:0	4	&
water	4:28	0:0	4	rect
arg	4:34	4:35	3	0
water	4:34	0:0	4	0
arg	4:37	4:38	3	0
water	4:37	0:0	4	0
arg	4:40	4:47	3	INT_MAX
water	4:40	0:0	4	INT_MAX
arg	4:49	4:55	3	height
water	4:49	0:0	4	height
arg	4:57	4:62	3	width
water	4:57	0:0	4	width
arg	4:64	4:70	3	height
water	4:64	0:0	4	height
arg	4:72	4:75	3	sar
water	4:72	0:0	4	sar
water	4:76	0:0	2	;
water	5:4	0:0	2	default_width
op	5:19	0:0	2	=
water	5:21	0:0	2	rect
op	5:25	0:0	2	.
water	5:26	0:0	2	w
water	5:27	0:0	2	;
water	6:4	0:0	2	default_height
op	6:19	0:0	2	=
water	6:21	0:0	2	rect
op	6:25	0:0	2	.
water	6:26	0:0	2	h
water	6:27	0:0	2	;
