func	1:0	5:0	0	static void	update_video_pts
params	1:28	0:0	1	
param	1:29	1:43	2	VideoState *	is
param	1:45	1:55	2	double	pts
param	1:57	1:68	2	int64_t	pos
param	1:70	1:80	2	int	serial
stmnts	3:4	4:49	1	
call	3:4	3:38	2	set_clock
arg	3:14	3:25	3	&is->vidclk
op	3:14	0:0	4	&
water	3:15	0:0	4	is
op	3:17	0:0	4	->
water	3:19	0:0	4	vidclk
arg	3:27	3:30	3	pts
water	3:27	0:0	4	pts
arg	3:32	3:38	3	serial
water	3:32	0:0	4	serial
water	3:39	0:0	2	;
call	4:4	4:48	2	sync_clock_to_slave
arg	4:24	4:35	3	&is->extclk
op	4:24	0:0	4	&
water	4:25	0:0	4	is
op	4:27	0:0	4	->
water	4:29	0:0	4	extclk
arg	4:37	4:48	3	&is->vidclk
op	4:37	0:0	4	&
water	4:38	0:0	4	is
op	4:40	0:0	4	->
water	4:42	0:0	4	vidclk
water	4:49	0:0	2	;
