func	1:0	10:0	0	static inline void	json_print_item_str
params	1:38	0:0	1	
param	1:39	1:58	2	WriterContext *	wctx
param	2:39	2:54	2	const char *	key
param	2:56	2:73	2	const char *	value
stmnts	0:0	9:34	1	
decl	4:4	4:16	2	AVBPrint	buf
call	5:4	5:52	2	av_bprint_init
arg	5:19	5:23	3	&buf
op	5:19	0:0	4	&
water	5:20	0:0	4	buf
arg	5:25	5:26	3	1
water	5:25	0:0	4	1
arg	5:28	5:52	3	AV_BPRINT_SIZE_UNLIMITED
water	5:28	0:0	4	AV_BPRINT_SIZE_UNLIMITED
water	5:53	0:0	2	;
call	6:4	6:56	2	printf
arg	6:11	6:20	3	"\"%s\":"
water	6:11	0:0	4	"\"%s\":"
arg	6:22	6:56	3	json_escape_str(&buf,key,wctx)
call	6:22	6:55	4	json_escape_str
arg	6:38	6:42	5	&buf
op	6:38	0:0	6	&
water	6:39	0:0	6	buf
arg	6:44	6:47	5	key
water	6:44	0:0	6	key
arg	6:51	6:55	5	wctx
water	6:51	0:0	6	wctx
water	6:57	0:0	2	;
call	7:4	7:24	2	av_bprint_clear
arg	7:20	7:24	3	&buf
op	7:20	0:0	4	&
water	7:21	0:0	4	buf
water	7:25	0:0	2	;
call	8:4	8:56	2	printf
arg	8:11	8:20	3	" \"%s\""
water	8:11	0:0	4	" \"%s\""
arg	8:22	8:56	3	json_escape_str(&buf,value,wctx)
call	8:22	8:55	4	json_escape_str
arg	8:38	8:42	5	&buf
op	8:38	0:0	6	&
water	8:39	0:0	6	buf
arg	8:44	8:49	5	value
water	8:44	0:0	6	value
arg	8:51	8:55	5	wctx
water	8:51	0:0	6	wctx
water	8:57	0:0	2	;
call	9:4	9:33	2	av_bprint_finalize
arg	9:23	9:27	3	&buf
op	9:23	0:0	4	&
water	9:24	0:0	4	buf
arg	9:29	9:33	3	NULL
water	9:29	0:0	4	NULL
water	9:34	0:0	2	;
