func	1:0	6:0	0	static void	vector_fmul_add_c
params	1:29	0:0	1	
param	1:30	1:40	2	float *	dst
param	1:42	1:59	2	const float *	src0
param	1:61	1:78	2	const float *	src1
param	2:30	2:47	2	const float *	src2
param	2:49	2:56	2	int	len
stmnts	0:0	5:44	1	
decl	3:4	3:9	2	int	i
for	4:4	5:44	2	(i = 0 ;i < len;i ++)
forinit	4:9	4:14	3	i = 0 ;
water	4:9	0:0	4	i
op	4:11	0:0	4	=
water	4:13	0:0	4	0
water	4:14	0:0	4	;
cond	4:16	4:20	3	i < len
water	4:16	0:0	4	i
op	4:18	0:0	4	<
water	4:20	0:0	4	len
forexpr	4:25	4:26	3	i ++
water	4:25	0:0	4	i
op	4:26	0:0	4	++
stmts	5:8	5:44	3	
water	5:8	0:0	4	dst
op	5:11	0:0	4	[
water	5:12	0:0	4	i
op	5:13	0:0	4	]
op	5:15	0:0	4	=
water	5:17	0:0	4	src0
op	5:21	0:0	4	[
water	5:22	0:0	4	i
op	5:23	0:0	4	]
op	5:25	0:0	4	*
water	5:27	0:0	4	src1
op	5:31	0:0	4	[
water	5:32	0:0	4	i
op	5:33	0:0	4	]
op	5:35	0:0	4	+
water	5:37	0:0	4	src2
op	5:41	0:0	4	[
water	5:42	0:0	4	i
op	5:43	0:0	4	]
water	5:44	0:0	4	;
