func	1:0	7:0	0	static void	read_ayuv64le_Y_c
params	1:29	0:0	1	
param	1:30	1:42	2	uint8_t *	dst
param	1:44	1:62	2	const uint8_t *	src
param	1:64	1:86	2	const uint8_t *	unused0
param	1:88	1:110	2	const uint8_t *	unused1
param	1:112	1:121	2	int	width
param	2:31	2:48	2	uint32_t *	unused2
stmnts	0:0	6:54	1	
decl	4:4	4:9	2	int	i
for	5:4	6:54	2	(i = 0 ;i < width;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < width
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	width
forexpr	5:27	5:28	3	i ++
water	5:27	0:0	4	i
op	5:28	0:0	4	++
stmts	6:8	6:54	3	
call	6:8	6:53	4	AV_WN16
arg	6:16	6:27	5	dst+i*2
water	6:16	0:0	6	dst
op	6:20	0:0	6	+
water	6:22	0:0	6	i
op	6:24	0:0	6	*
water	6:26	0:0	6	2
arg	6:29	6:53	5	AV_RL16(src+i*8+2)
call	6:29	6:52	6	AV_RL16
arg	6:37	6:52	7	src+i*8+2
water	6:37	0:0	8	src
op	6:41	0:0	8	+
water	6:43	0:0	8	i
op	6:45	0:0	8	*
water	6:47	0:0	8	8
op	6:49	0:0	8	+
water	6:51	0:0	8	2
water	6:54	0:0	4	;
