func	1:0	7:0	0	static void	yuy2ToY_c
params	1:21	0:0	1	
param	1:22	1:34	2	uint8_t *	dst
param	1:36	1:54	2	const uint8_t *	src
param	1:56	1:78	2	const uint8_t *	unused1
param	1:80	1:102	2	const uint8_t *	unused2
param	1:105	1:114	2	int	width
param	2:22	2:38	2	uint32_t *	unused
stmnts	0:0	6:27	1	
decl	4:4	4:9	2	int	i
for	5:4	6:27	2	(i = 0 ;i < width;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < width
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	width
forexpr	5:27	5:28	3	i ++
water	5:27	0:0	4	i
op	5:28	0:0	4	++
stmts	6:8	6:27	3	
water	6:8	0:0	4	dst
op	6:11	0:0	4	[
water	6:12	0:0	4	i
op	6:13	0:0	4	]
op	6:15	0:0	4	=
water	6:17	0:0	4	src
op	6:20	0:0	4	[
water	6:21	0:0	4	2
op	6:23	0:0	4	*
water	6:25	0:0	4	i
op	6:26	0:0	4	]
water	6:27	0:0	4	;
