func	1:0	10:0	0	static void	yvy2ToUV_c
params	1:22	0:0	1	
param	1:23	1:36	2	uint8_t *	dstU
param	1:38	1:51	2	uint8_t *	dstV
param	1:53	1:75	2	const uint8_t *	unused0
param	1:77	1:96	2	const uint8_t *	src1
param	2:23	2:42	2	const uint8_t *	src2
param	2:44	2:53	2	int	width
param	2:55	2:71	2	uint32_t *	unused
stmnts	0:0	9:28	1	
decl	4:4	4:9	2	int	i
for	5:4	8:4	2	(i = 0 ;i < width;i ++)
forinit	5:9	5:14	3	i = 0 ;
water	5:9	0:0	4	i
op	5:11	0:0	4	=
water	5:13	0:0	4	0
water	5:14	0:0	4	;
cond	5:16	5:20	3	i < width
water	5:16	0:0	4	i
op	5:18	0:0	4	<
water	5:20	0:0	4	width
forexpr	5:27	5:28	3	i ++
water	5:27	0:0	4	i
op	5:28	0:0	4	++
stmts	5:32	8:4	3	
water	5:32	0:0	4	{
water	6:8	0:0	4	dstV
op	6:12	0:0	4	[
water	6:13	0:0	4	i
op	6:14	0:0	4	]
op	6:16	0:0	4	=
water	6:18	0:0	4	src1
op	6:22	0:0	4	[
water	6:23	0:0	4	4
op	6:25	0:0	4	*
water	6:27	0:0	4	i
op	6:29	0:0	4	+
water	6:31	0:0	4	1
op	6:32	0:0	4	]
water	6:33	0:0	4	;
water	7:8	0:0	4	dstU
op	7:12	0:0	4	[
water	7:13	0:0	4	i
op	7:14	0:0	4	]
op	7:16	0:0	4	=
water	7:18	0:0	4	src1
op	7:22	0:0	4	[
water	7:23	0:0	4	4
op	7:25	0:0	4	*
water	7:27	0:0	4	i
op	7:29	0:0	4	+
water	7:31	0:0	4	3
op	7:32	0:0	4	]
water	7:33	0:0	4	;
water	8:4	0:0	4	}
call	9:4	9:27	2	av_assert1
arg	9:15	9:27	3	src1==src2
water	9:15	0:0	4	src1
op	9:20	0:0	4	==
water	9:23	0:0	4	src2
water	9:28	0:0	2	;
