func	1:0	6:0	0	static void	put_ebml_float
params	1:26	0:0	1	
param	1:27	1:42	2	AVIOContext *	pb
param	1:44	1:66	2	unsigned int	elementid
param	1:68	1:78	2	double	val
stmnts	3:4	5:37	1	
call	3:4	3:29	2	put_ebml_id
arg	3:16	3:18	3	pb
water	3:16	0:0	4	pb
arg	3:20	3:29	3	elementid
water	3:20	0:0	4	elementid
water	3:30	0:0	2	;
call	4:4	4:25	2	put_ebml_num
arg	4:17	4:19	3	pb
water	4:17	0:0	4	pb
arg	4:21	4:22	3	8
water	4:21	0:0	4	8
arg	4:24	4:25	3	0
water	4:24	0:0	4	0
water	4:26	0:0	2	;
call	5:4	5:36	2	avio_wb64
arg	5:14	5:16	3	pb
water	5:14	0:0	4	pb
arg	5:18	5:36	3	av_double2int(val)
call	5:18	5:35	4	av_double2int
arg	5:32	5:35	5	val
water	5:32	0:0	6	val
water	5:37	0:0	2	;
