func	1:0	6:0	0	static int	mxf_add_timecode_metadata
params	1:36	0:0	1	
param	1:37	1:54	2	AVDictionary * *	pm
param	1:56	1:71	2	const char *	key
param	1:73	1:87	2	AVTimecode *	tc
stmnts	0:0	5:12	1	
decl	3:4	3:34	2	char	buf[AV_TIMECODE_STR_SIZE]
call	4:4	4:63	2	av_dict_set
arg	4:16	4:18	3	pm
water	4:16	0:0	4	pm
arg	4:20	4:23	3	key
water	4:20	0:0	4	key
arg	4:25	4:60	3	av_timecode_make_string(tc,buf,0)
call	4:25	4:59	4	av_timecode_make_string
arg	4:49	4:51	5	tc
water	4:49	0:0	6	tc
arg	4:53	4:56	5	buf
water	4:53	0:0	6	buf
arg	4:58	4:59	5	0
water	4:58	0:0	6	0
arg	4:62	4:63	3	0
water	4:62	0:0	4	0
water	4:64	0:0	2	;
return	5:4	5:12	2	0
water	5:11	0:0	3	0
