func	1:0	7:0	0	static int	add_info
params	1:19	0:0	1	
param	1:20	1:35	2	AVIOContext *	bc
param	1:37	1:53	2	const char *	type
param	1:55	1:72	2	const char *	value
stmnts	3:4	6:12	1	
call	3:4	3:20	2	put_str
arg	3:12	3:14	3	bc
water	3:12	0:0	4	bc
arg	3:16	3:20	3	type
water	3:16	0:0	4	type
water	3:21	0:0	2	;
call	4:4	4:16	2	put_s
arg	4:10	4:12	3	bc
water	4:10	0:0	4	bc
arg	4:14	4:16	3	-1
op	4:14	0:0	4	-
water	4:15	0:0	4	1
water	4:17	0:0	2	;
call	5:4	5:21	2	put_str
arg	5:12	5:14	3	bc
water	5:12	0:0	4	bc
arg	5:16	5:21	3	value
water	5:16	0:0	4	value
water	5:22	0:0	2	;
return	6:4	6:12	2	1
water	6:11	0:0	3	1
