func	1:0	6:0	0	static inline void	ff_put_v_trace
params	1:33	0:0	1	
param	1:34	1:49	2	AVIOContext *	bc
param	1:51	1:61	2	uint64_t	v
param	1:63	1:79	2	const char *	file
param	2:34	2:50	2	const char *	func
param	2:52	2:60	2	int	line
stmnts	4:4	5:19	1	
call	4:4	4:102	2	av_log
arg	4:11	4:15	3	NULL
water	4:11	0:0	4	NULL
arg	4:17	4:29	3	AV_LOG_DEBUG
water	4:17	0:0	4	AV_LOG_DEBUG
arg	4:31	4:78	3	"ff_put_v %5"PRId64" / %"PRIX64" in %s %s:%d\n"
water	4:31	0:0	4	"ff_put_v %5"
water	4:44	0:0	4	PRId64
water	4:50	0:0	4	" / %"
water	4:56	0:0	4	PRIX64
water	4:62	0:0	4	" in %s %s:%d\n"
arg	4:80	4:81	3	v
water	4:80	0:0	4	v
arg	4:83	4:84	3	v
water	4:83	0:0	4	v
arg	4:86	4:90	3	file
water	4:86	0:0	4	file
arg	4:92	4:96	3	func
water	4:92	0:0	4	func
arg	4:98	4:102	3	line
water	4:98	0:0	4	line
water	4:103	0:0	2	;
call	5:4	5:18	2	ff_put_v
arg	5:13	5:15	3	bc
water	5:13	0:0	4	bc
arg	5:17	5:18	3	v
water	5:17	0:0	4	v
water	5:19	0:0	2	;
