func	1:0	4:0	0	int	av_opt_set_int
params	1:18	0:0	1	
param	1:19	1:28	2	void *	obj
param	1:30	1:46	2	const char *	name
param	1:48	1:59	2	int64_t	val
param	1:61	1:77	2	int	search_flags
stmnts	3:4	3:57	1	
return	3:4	3:57	2	set_number(obj,name,1,1,val,search_flags)
call	3:11	3:56	3	set_number
arg	3:22	3:25	4	obj
water	3:22	0:0	5	obj
arg	3:27	3:31	4	name
water	3:27	0:0	5	name
arg	3:33	3:34	4	1
water	3:33	0:0	5	1
arg	3:36	3:37	4	1
water	3:36	0:0	5	1
arg	3:39	3:42	4	val
water	3:39	0:0	5	val
arg	3:44	3:56	4	search_flags
water	3:44	0:0	5	search_flags
