func	1:0	4:0	0	int	av_opt_set_q
params	1:16	0:0	1	
param	1:17	1:26	2	void *	obj
param	1:28	1:44	2	const char *	name
param	1:46	1:60	2	AVRational	val
param	1:62	1:78	2	int	search_flags
stmnts	3:4	3:67	1	
return	3:4	3:67	2	set_number(obj,name,val.num,val.den,1,search_flags)
call	3:11	3:66	3	set_number
arg	3:22	3:25	4	obj
water	3:22	0:0	5	obj
arg	3:27	3:31	4	name
water	3:27	0:0	5	name
arg	3:33	3:40	4	val.num
water	3:33	0:0	5	val
op	3:36	0:0	5	.
water	3:37	0:0	5	num
arg	3:42	3:49	4	val.den
water	3:42	0:0	5	val
op	3:45	0:0	5	.
water	3:46	0:0	5	den
arg	3:51	3:52	4	1
water	3:51	0:0	5	1
arg	3:54	3:66	4	search_flags
water	3:54	0:0	5	search_flags
