func	1:0	5:0	0	static int	set_string_pixel_fmt
params	1:31	0:0	1	
param	1:32	1:41	2	void *	obj
param	1:43	1:60	2	const AVOption *	o
param	1:62	1:77	2	const char *	val
param	1:79	1:91	2	uint8_t *	dst
stmnts	3:4	4:72	1	
return	3:4	4:72	2	set_string_fmt(obj,o,val,dst,AV_PIX_FMT_NB,av_get_pix_fmt,"pixel format")
call	3:11	4:71	3	set_string_fmt
arg	3:26	3:29	4	obj
water	3:26	0:0	5	obj
arg	3:31	3:32	4	o
water	3:31	0:0	5	o
arg	3:34	3:37	4	val
water	3:34	0:0	5	val
arg	3:39	3:42	4	dst
water	3:39	0:0	5	dst
arg	4:26	4:39	4	AV_PIX_FMT_NB
water	4:26	0:0	5	AV_PIX_FMT_NB
arg	4:41	4:55	4	av_get_pix_fmt
water	4:41	0:0	5	av_get_pix_fmt
arg	4:57	4:71	4	"pixel format"
water	4:57	0:0	5	"pixel format"
