func	1:0	9:0	0	static void	yuv2plane1_8_c
params	1:26	0:0	1	
param	1:27	1:45	2	const int16_t *	src
param	1:47	1:60	2	uint8_t *	dest
param	1:62	1:70	2	int	dstW
param	2:27	2:48	2	const uint8_t *	dither
param	2:50	2:60	2	int	offset
stmnts	0:0	8:4	1	
decl	4:4	4:9	2	int	i
for	5:4	8:4	2	(i = 0 ;i < dstW;i ++)
forinit	5:9	5:12	3	i = 0 ;
water	5:9	0:0	4	i
op	5:10	0:0	4	=
water	5:11	0:0	4	0
water	5:12	0:0	4	;
cond	5:14	5:16	3	i < dstW
water	5:14	0:0	4	i
op	5:15	0:0	4	<
water	5:16	0:0	4	dstW
forexpr	5:22	5:23	3	i ++
water	5:22	0:0	4	i
op	5:23	0:0	4	++
stmts	5:27	8:4	3	
water	5:27	0:0	4	{
decl	6:8	6:58	4	int	val
op	6:16	0:0	4	=
water	6:18	0:0	4	(
water	6:19	0:0	4	src
op	6:22	0:0	4	[
water	6:23	0:0	4	i
op	6:24	0:0	4	]
op	6:26	0:0	4	+
water	6:28	0:0	4	dither
op	6:34	0:0	4	[
water	6:35	0:0	4	(
water	6:36	0:0	4	i
op	6:38	0:0	4	+
water	6:40	0:0	4	offset
water	6:46	0:0	4	)
op	6:48	0:0	4	&
water	6:50	0:0	4	7
op	6:51	0:0	4	]
water	6:52	0:0	4	)
op	6:54	0:0	4	>>
water	6:57	0:0	4	7
water	7:8	0:0	4	dest
op	7:12	0:0	4	[
water	7:13	0:0	4	i
op	7:14	0:0	4	]
op	7:15	0:0	4	=
call	7:17	7:34	4	av_clip_uint8
arg	7:31	7:34	5	val
water	7:31	0:0	6	val
water	7:35	0:0	4	;
water	8:4	0:0	4	}
