func	1:0	9:0	0	static inline void	yv12toyuy2_c
params	1:31	0:0	1	
param	1:32	1:51	2	const uint8_t *	ysrc
param	1:53	1:72	2	const uint8_t *	usrc
param	2:32	2:51	2	const uint8_t *	vsrc
param	2:53	2:65	2	uint8_t *	dst
param	3:32	3:41	2	int	width
param	3:43	3:53	2	int	height
param	3:55	3:68	2	int	lumStride
param	4:32	4:47	2	int	chromStride
param	4:49	4:62	2	int	dstStride
stmnts	7:4	8:48	1	
call	7:4	8:47	2	yuvPlanartoyuy2_c
arg	7:22	7:26	3	ysrc
water	7:22	0:0	4	ysrc
arg	7:28	7:32	3	usrc
water	7:28	0:0	4	usrc
arg	7:34	7:38	3	vsrc
water	7:34	0:0	4	vsrc
arg	7:40	7:43	3	dst
water	7:40	0:0	4	dst
arg	7:45	7:50	3	width
water	7:45	0:0	4	width
arg	7:52	7:58	3	height
water	7:52	0:0	4	height
arg	7:60	7:69	3	lumStride
water	7:60	0:0	4	lumStride
arg	8:22	8:33	3	chromStride
water	8:22	0:0	4	chromStride
arg	8:35	8:44	3	dstStride
water	8:35	0:0	4	dstStride
arg	8:46	8:47	3	2
water	8:46	0:0	4	2
water	8:48	0:0	2	;
