func	1:0	5:0	0	static int	sbg_read_seek
params	1:24	0:0	1	
param	1:25	1:45	2	AVFormatContext *	avf
param	1:47	1:63	2	int	stream_index
param	2:25	2:35	2	int64_t	ts
param	2:37	2:46	2	int	flags
stmnts	4:4	4:59	1	
return	4:4	4:59	2	sbg_read_seek2(avf,stream_index,ts,ts,ts,0)
call	4:11	4:58	3	sbg_read_seek2
arg	4:26	4:29	4	avf
water	4:26	0:0	5	avf
arg	4:31	4:43	4	stream_index
water	4:31	0:0	5	stream_index
arg	4:45	4:47	4	ts
water	4:45	0:0	5	ts
arg	4:49	4:51	4	ts
water	4:49	0:0	5	ts
arg	4:53	4:55	4	ts
water	4:53	0:0	5	ts
arg	4:57	4:58	4	0
water	4:57	0:0	5	0
