func	1:0	55:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:13	2	void
stmnts	0:0	54:12	1	
decl	3:4	3:15	2	int	i
water	3:9	0:0	2	,
decl	3:4	3:15	2	int	j
water	3:12	0:0	2	,
decl	3:4	3:15	2	int	k
decl	4:4	4:16	2	AVSHA512	ctx
decl	5:4	5:28	2	unsigned char	digest[64]
water	6:4	0:0	2	static
water	6:11	0:0	2	const
water	6:17	0:0	2	int
water	6:21	0:0	2	lengths
op	6:28	0:0	2	[
water	6:29	0:0	2	4
op	6:30	0:0	2	]
op	6:32	0:0	2	=
water	6:34	0:0	2	{
water	6:36	0:0	2	224
water	6:39	0:0	2	,
water	6:41	0:0	2	256
water	6:44	0:0	2	,
water	6:46	0:0	2	384
water	6:49	0:0	2	,
water	6:51	0:0	2	512
water	6:55	0:0	2	}
water	6:56	0:0	2	;
for	7:4	53:4	2	(j = 0 ;j < 4;j ++)
forinit	7:9	7:14	3	j = 0 ;
water	7:9	0:0	4	j
op	7:11	0:0	4	=
water	7:13	0:0	4	0
water	7:14	0:0	4	;
cond	7:16	7:20	3	j < 4
water	7:16	0:0	4	j
op	7:18	0:0	4	<
water	7:20	0:0	4	4
forexpr	7:23	7:24	3	j ++
water	7:23	0:0	4	j
op	7:24	0:0	4	++
stmts	7:28	53:4	3	
water	7:28	0:0	4	{
if	8:8	8:61	4	(j < 2)
cond	8:12	8:16	5	j < 2
water	8:12	0:0	6	j
op	8:14	0:0	6	<
water	8:16	0:0	6	2
stmts	8:19	8:61	5	
call	8:19	8:60	6	printf
arg	8:26	8:48	7	"Testing SHA-512/%d\n"
water	8:26	0:0	8	"Testing SHA-512/%d\n"
arg	8:50	8:60	7	lengths[j]
water	8:50	0:0	8	lengths
op	8:57	0:0	8	[
water	8:58	0:0	8	j
op	8:59	0:0	8	]
water	8:61	0:0	6	;
else	9:8	9:57	4
stmts	9:19	9:57	5	
call	9:19	9:56	6	printf
arg	9:26	9:44	7	"Testing SHA-%d\n"
water	9:26	0:0	8	"Testing SHA-%d\n"
arg	9:46	9:56	7	lengths[j]
water	9:46	0:0	8	lengths
op	9:53	0:0	8	[
water	9:54	0:0	8	j
op	9:55	0:0	8	]
water	9:57	0:0	6	;
for	10:8	24:8	4	(k = 0 ;k < 3;k ++)
forinit	10:13	10:18	5	k = 0 ;
water	10:13	0:0	6	k
op	10:15	0:0	6	=
water	10:17	0:0	6	0
water	10:18	0:0	6	;
cond	10:20	10:24	5	k < 3
water	10:20	0:0	6	k
op	10:22	0:0	6	<
water	10:24	0:0	6	3
forexpr	10:27	10:28	5	k ++
water	10:27	0:0	6	k
op	10:28	0:0	6	++
stmts	10:32	24:8	5	
water	10:32	0:0	6	{
call	11:12	11:43	6	av_sha512_init
arg	11:27	11:31	7	&ctx
op	11:27	0:0	8	&
water	11:28	0:0	8	ctx
arg	11:33	11:43	7	lengths[j]
water	11:33	0:0	8	lengths
op	11:40	0:0	8	[
water	11:41	0:0	8	j
op	11:42	0:0	8	]
water	11:44	0:0	6	;
if	12:12	13:48	6	(k == 0)
cond	12:16	12:21	7	k == 0
water	12:16	0:0	8	k
op	12:18	0:0	8	==
water	12:21	0:0	8	0
stmts	13:16	13:48	7	
call	13:16	13:47	8	av_sha512_update
arg	13:33	13:37	9	&ctx
op	13:33	0:0	10	&
water	13:34	0:0	10	ctx
arg	13:39	13:44	9	"abc"
water	13:39	0:0	10	"abc"
arg	13:46	13:47	9	3
water	13:46	0:0	10	3
water	13:48	0:0	8	;
else	14:12	16:103	6
stmts	14:17	16:103	7	
if	14:17	16:103	8	(k == 1)
cond	14:21	14:26	9	k == 1
water	14:21	0:0	10	k
op	14:23	0:0	10	==
water	14:26	0:0	10	1
stmts	15:16	16:103	9	
call	15:16	16:102	10	av_sha512_update
arg	15:33	15:37	11	&ctx
op	15:33	0:0	12	&
water	15:34	0:0	12	ctx
arg	15:39	16:97	11	"abcdefghbcdefghicdefghijdefghijkefghijklfghijklmghijklmn""hijklmnoijklmnopjklmnopqklmnopqrlmnopqrsmnopqrstnopqrstu"
water	15:39	0:0	12	"abcdefghbcdefghicdefghijdefghijkefghijklfghijklmghijklmn"
water	16:39	0:0	12	"hijklmnoijklmnopjklmnopqklmnopqrlmnopqrsmnopqrstnopqrstu"
arg	16:99	16:102	11	112
water	16:99	0:0	12	112
water	16:103	0:0	10	;
else	17:12	19:50	6
stmts	18:16	19:50	7	
for	18:16	19:50	8	(i = 0 ;i < 1000 * 1000;i ++)
forinit	18:21	18:26	9	i = 0 ;
water	18:21	0:0	10	i
op	18:23	0:0	10	=
water	18:25	0:0	10	0
water	18:26	0:0	10	;
cond	18:28	18:37	9	i < 1000 * 1000
water	18:28	0:0	10	i
op	18:30	0:0	10	<
water	18:32	0:0	10	1000
op	18:36	0:0	10	*
water	18:37	0:0	10	1000
forexpr	18:43	18:44	9	i ++
water	18:43	0:0	10	i
op	18:44	0:0	10	++
stmts	19:20	19:50	9	
call	19:20	19:49	10	av_sha512_update
arg	19:37	19:41	11	&ctx
op	19:37	0:0	12	&
water	19:38	0:0	12	ctx
arg	19:43	19:46	11	"a"
water	19:43	0:0	12	"a"
arg	19:48	19:49	11	1
