func	1:0	23:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:17	2	int	argc
param	1:19	1:30	2	char * *	argv
stmnts	0:0	22:12	1	
decl	3:4	3:26	2	const char	*out
op	3:20	0:0	2	=
water	3:22	0:0	2	NULL
decl	4:4	4:32	2	struct Tracks	tracks
op	4:25	0:0	2	=
water	4:27	0:0	2	{
water	4:29	0:0	2	0
water	4:31	0:0	2	}
decl	5:4	5:9	2	int	i
call	6:4	6:20	2	av_register_all
water	6:21	0:0	2	;
for	7:4	17:4	2	(i = 1 ;i < argc;i ++)
forinit	7:9	7:14	3	i = 1 ;
water	7:9	0:0	4	i
op	7:11	0:0	4	=
water	7:13	0:0	4	1
water	7:14	0:0	4	;
cond	7:16	7:20	3	i < argc
water	7:16	0:0	4	i
op	7:18	0:0	4	<
water	7:20	0:0	4	argc
forexpr	7:26	7:27	3	i ++
water	7:26	0:0	4	i
op	7:27	0:0	4	++
stmts	7:31	17:4	3	
water	7:31	0:0	4	{
if	8:8	11:8	4	(!strcmp (argv [ i ] ,"-out" ))
cond	8:12	8:35	5	!strcmp (argv [ i ] ,"-out" )
op	8:12	0:0	6	!
call	8:13	8:35	6	strcmp
arg	8:20	8:27	7	argv[i]
water	8:20	0:0	8	argv
op	8:24	0:0	8	[
water	8:25	0:0	8	i
op	8:26	0:0	8	]
arg	8:29	8:35	7	"-out"
water	8:29	0:0	8	"-out"
stmts	8:38	11:8	5	
water	8:38	0:0	6	{
water	9:12	0:0	6	out
op	9:16	0:0	6	=
water	9:18	0:0	6	argv
op	9:22	0:0	6	[
water	9:23	0:0	6	i
op	9:25	0:0	6	+
water	9:27	0:0	6	1
op	9:28	0:0	6	]
water	9:29	0:0	6	;
water	10:12	0:0	6	i
op	10:13	0:0	6	++
water	10:15	0:0	6	;
water	11:8	0:0	6	}
else	11:10	13:8	4
stmts	11:15	13:8	5	
if	11:15	13:8	6	(argv [ i ] [ 0 ] == '-')
cond	11:19	11:33	7	argv [ i ] [ 0 ] == '-'
water	11:19	0:0	8	argv
op	11:23	0:0	8	[
water	11:24	0:0	8	i
op	11:25	0:0	8	]
op	11:26	0:0	8	[
water	11:27	0:0	8	0
op	11:28	0:0	8	]
op	11:30	0:0	8	==
water	11:33	0:0	8	'-'
stmts	11:38	13:8	7	
water	11:38	0:0	8	{
return	12:12	12:36	8	usage(argv[0],1)
call	12:19	12:35	9	usage
arg	12:25	12:32	10	argv[0]
water	12:25	0:0	11	argv
op	12:29	0:0	11	[
water	12:30	0:0	11	0
op	12:31	0:0	11	]
arg	12:34	12:35	10	1
water	12:34	0:0	11	1
water	13:8	0:0	8	}
else	13:10	16:8	4
stmts	13:15	16:8	5	
water	13:15	0:0	6	{
if	14:12	15:24	6	(handle_file (& tracks ,argv [ i ] ))
cond	14:16	14:44	7	handle_file (& tracks ,argv [ i ] )
call	14:16	14:44	8	handle_file
arg	14:28	14:35	9	&tracks
op	14:28	0:0	10	&
water	14:29	0:0	10	tracks
arg	14:37	14:44	9	argv[i]
water	14:37	0:0	10	argv
op	14:41	0:0	10	[
water	14:42	0:0	10	i
op	14:43	0:0	10	]
stmts	15:16	15:24	7	
return	15:16	15:24	8	1
water	15:23	0:0	9	1
water	16:8	0:0	6	}
water	17:4	0:0	4	}
if	18:4	19:32	2	(! tracks . nb_tracks || ! out)
cond	18:8	18:30	3	! tracks . nb_tracks || ! out
op	18:8	0:0	4	!
water	18:9	0:0	4	tracks
op	18:15	0:0	4	.
water	18:16	0:0	4	nb_tracks
op	18:26	0:0	4	||
op	18:29	0:0	4	!
water	18:30	0:0	4	out
stmts	19:8	19:32	3	
return	19:8	19:32	4	usage(argv[0],1)
call	19:15	19:31	5	usage
arg	19:21	19:28	6	argv[0]
water	19:21	0:0	7	argv
op	19:25	0:0	7	[
water	19:26	0:0	7	0
op	19:27	0:0	7	]
arg	19:30	19:31	6	1
water	19:30	0:0	7	1
call	20:4	20:27	2	output_mpd
arg	20:15	20:22	3	&tracks
op	20:15	0:0	4	&
water	20:16	0:0	4	tracks
arg	20:24	20:27	3	out
water	20:24	0:0	4	out
water	20:28	0:0	2	;
call	21:4	21:24	2	clean_tracks
arg	21:17	21:24	3	&tracks
op	21:17	0:0	4	&
water	21:18	0:0	4	tracks
water	21:25	0:0	2	;
return	22:4	22:12	2	0
water	22:11	0:0	3	0
