func	1:0	7:0	0	static inline void	add_mask_counter
params	1:35	0:0	1	
param	1:36	1:49	2	uint32_t *	dst
param	1:51	1:69	2	uint32_t *	counter1
param	1:71	1:89	2	uint32_t *	counter2
param	1:91	1:98	2	int	len
stmnts	0:0	6:4	1	
decl	3:4	3:9	2	int	i
for	4:4	6:4	2	(i = 0 ;i < len;i ++)
forinit	4:9	4:14	3	i = 0 ;
water	4:9	0:0	4	i
op	4:11	0:0	4	=
water	4:13	0:0	4	0
water	4:14	0:0	4	;
cond	4:16	4:20	3	i < len
water	4:16	0:0	4	i
op	4:18	0:0	4	<
water	4:20	0:0	4	len
forexpr	4:25	4:26	3	i ++
water	4:25	0:0	4	i
op	4:26	0:0	4	++
stmts	4:30	6:4	3	
water	4:30	0:0	4	{
water	5:8	0:0	4	dst
op	5:11	0:0	4	[
water	5:12	0:0	4	i
op	5:13	0:0	4	]
op	5:15	0:0	4	=
water	5:17	0:0	4	counter1
op	5:25	0:0	4	[
water	5:26	0:0	4	i
op	5:27	0:0	4	]
op	5:29	0:0	4	+
water	5:31	0:0	4	counter2
op	5:39	0:0	4	[
water	5:40	0:0	4	i
op	5:41	0:0	4	]
water	5:42	0:0	4	;
water	6:4	0:0	4	}
