func	2:0	9:0	0	static void	blend_normal
params	2:24	0:0	1	
param	2:25	2:43	2	const uint8_t *	top
param	2:45	2:61	2	int	top_linesize
param	3:25	3:46	2	const uint8_t *	bottom
param	3:48	3:67	2	int	bottom_linesize
param	4:25	4:37	2	uint8_t *	dst
param	4:39	4:55	2	int	dst_linesize
param	5:25	5:34	2	int	width
param	5:36	5:45	2	int	start
param	5:47	5:54	2	int	end
param	6:25	6:44	2	FilterParams *	param
param	6:46	6:60	2	double *	values
stmnts	8:4	8:81	1	
call	8:4	8:80	2	av_image_copy_plane
arg	8:24	8:27	3	dst
water	8:24	0:0	4	dst
arg	8:29	8:41	3	dst_linesize
water	8:29	0:0	4	dst_linesize
arg	8:43	8:46	3	top
water	8:43	0:0	4	top
arg	8:48	8:60	3	top_linesize
water	8:48	0:0	4	top_linesize
arg	8:62	8:67	3	width
water	8:62	0:0	4	width
arg	8:69	8:80	3	end-start
water	8:69	0:0	4	end
op	8:73	0:0	4	-
water	8:75	0:0	4	start
water	8:81	0:0	2	;
