func	1:0	10:0	0	static void	hblur
params	1:17	0:0	1	
param	1:18	1:30	2	uint8_t *	dst
param	1:32	1:48	2	int	dst_linesize
param	1:50	1:68	2	const uint8_t *	src
param	1:70	1:86	2	int	src_linesize
param	2:18	2:23	2	int	w
param	2:25	2:30	2	int	h
param	2:32	2:42	2	int	radius
param	2:44	2:53	2	int	power
param	2:55	2:71	2	uint8_t *	temp[2]
param	2:73	2:84	2	int	pixsize
stmnts	0:0	9:51	1	
decl	4:4	4:9	2	int	y
if	5:4	6:14	2	(radius == 0 && dst == src)
cond	5:8	5:30	3	radius == 0 && dst == src
water	5:8	0:0	4	radius
op	5:15	0:0	4	==
water	5:18	0:0	4	0
op	5:20	0:0	4	&&
water	5:23	0:0	4	dst
op	5:27	0:0	4	==
water	5:30	0:0	4	src
stmts	6:8	6:14	3	
return	6:8	6:14	4	
for	7:4	9:51	2	(y = 0 ;y < h;y ++)
forinit	7:9	7:14	3	y = 0 ;
water	7:9	0:0	4	y
op	7:11	0:0	4	=
water	7:13	0:0	4	0
water	7:14	0:0	4	;
cond	7:16	7:20	3	y < h
water	7:16	0:0	4	y
op	7:18	0:0	4	<
water	7:20	0:0	4	h
forexpr	7:23	7:24	3	y ++
water	7:23	0:0	4	y
op	7:24	0:0	4	++
stmts	8:8	9:51	3	
call	8:8	9:50	4	blur_power
arg	8:19	8:39	5	dst+y*dst_linesize
water	8:19	0:0	6	dst
op	8:23	0:0	6	+
water	8:25	0:0	6	y
op	8:26	0:0	6	*
water	8:27	0:0	6	dst_linesize
arg	8:41	8:48	5	pixsize
water	8:41	0:0	6	pixsize
arg	8:50	8:70	5	src+y*src_linesize
water	8:50	0:0	6	src
op	8:54	0:0	6	+
water	8:56	0:0	6	y
op	8:57	0:0	6	*
water	8:58	0:0	6	src_linesize
arg	8:72	8:79	5	pixsize
water	8:72	0:0	6	pixsize
arg	9:19	9:20	5	w
water	9:19	0:0	6	w
arg	9:22	9:28	5	radius
water	9:22	0:0	6	radius
arg	9:30	9:35	5	power
water	9:30	0:0	6	power
arg	9:37	9:41	5	temp
water	9:37	0:0	6	temp
arg	9:43	9:50	5	pixsize
water	9:43	0:0	6	pixsize
water	9:51	0:0	4	;
