func	1:0	13:0	0	static void	apply_luma_lut
params	1:26	0:0	1	
param	1:27	1:40	2	HueContext *	s
param	2:27	2:40	2	uint8_t *	ldst
param	2:42	2:64	2	const int	dst_linesize
param	3:27	3:40	2	uint8_t *	lsrc
param	3:42	3:64	2	const int	src_linesize
param	4:27	4:32	2	int	w
param	4:34	4:39	2	int	h
stmnts	0:0	12:4	1	
decl	6:4	6:9	2	int	i
while	7:4	12:4	2	(h --)
cond	7:11	7:12	3	h --
water	7:11	0:0	4	h
op	7:12	0:0	4	--
stmts	7:16	12:4	3	
water	7:16	0:0	4	{
for	8:8	9:39	4	(i = 0 ;i < w;i ++)
forinit	8:13	8:18	5	i = 0 ;
water	8:13	0:0	6	i
op	8:15	0:0	6	=
water	8:17	0:0	6	0
water	8:18	0:0	6	;
cond	8:20	8:24	5	i < w
water	8:20	0:0	6	i
op	8:22	0:0	6	<
water	8:24	0:0	6	w
forexpr	8:27	8:28	5	i ++
water	8:27	0:0	6	i
op	8:28	0:0	6	++
stmts	9:12	9:39	5	
water	9:12	0:0	6	ldst
op	9:16	0:0	6	[
water	9:17	0:0	6	i
op	9:18	0:0	6	]
op	9:20	0:0	6	=
water	9:22	0:0	6	s
op	9:23	0:0	6	->
water	9:25	0:0	6	lut_l
op	9:30	0:0	6	[
water	9:31	0:0	6	lsrc
op	9:35	0:0	6	[
water	9:36	0:0	6	i
op	9:37	0:0	6	]
op	9:38	0:0	6	]
water	9:39	0:0	6	;
water	10:8	0:0	4	lsrc
op	10:13	0:0	4	+=
water	10:16	0:0	4	src_linesize
water	10:28	0:0	4	;
water	11:8	0:0	4	ldst
op	11:13	0:0	4	+=
water	11:16	0:0	4	dst_linesize
water	11:28	0:0	4	;
water	12:4	0:0	4	}
