func	1:0	5:0	0	static void	fill_frame_from_iplimage
params	1:36	0:0	1	
param	1:37	1:51	2	AVFrame *	frame
param	1:53	1:72	2	const IplImage *	img
param	1:74	1:99	2	enum AVPixelFormat	pixfmt
stmnts	3:4	4:39	1	
water	3:4	0:0	2	frame
op	3:9	0:0	2	->
water	3:11	0:0	2	linesize
op	3:19	0:0	2	[
water	3:20	0:0	2	0
op	3:21	0:0	2	]
op	3:23	0:0	2	=
water	3:25	0:0	2	img
op	3:28	0:0	2	->
water	3:30	0:0	2	widthStep
water	3:39	0:0	2	;
water	4:4	0:0	2	frame
op	4:9	0:0	2	->
water	4:11	0:0	2	data
op	4:15	0:0	2	[
water	4:16	0:0	2	0
op	4:17	0:0	2	]
op	4:23	0:0	2	=
water	4:25	0:0	2	img
op	4:28	0:0	2	->
water	4:30	0:0	2	imageData
water	4:39	0:0	2	;
