func	1:0	4:0	0	static int64_t	seek_by_sector
params	1:29	0:0	1	
param	1:30	1:45	2	AVIOContext *	pb
param	1:47	1:61	2	int64_t	sector
param	1:63	1:77	2	int64_t	offset
stmnts	3:4	3:72	1	
return	3:4	3:72	2	avio_seek(pb,(sector<<WTV_SECTOR_BITS)+offset,SEEK_SET)
call	3:11	3:71	3	avio_seek
arg	3:21	3:23	4	pb
water	3:21	0:0	5	pb
arg	3:25	3:61	4	(sector<<WTV_SECTOR_BITS)+offset
water	3:25	0:0	5	(
water	3:26	0:0	5	sector
op	3:33	0:0	5	<<
water	3:36	0:0	5	WTV_SECTOR_BITS
water	3:51	0:0	5	)
op	3:53	0:0	5	+
water	3:55	0:0	5	offset
arg	3:63	3:71	4	SEEK_SET
water	3:63	0:0	5	SEEK_SET
