func	1:0	115:0	0	int	main
params	2:4	0:0	1	
param	2:5	2:13	2	int	argc
param	2:15	2:32	2	const char * *	argv
stmnts	0:0	114:11	1	
decl	4:3	4:29	2	const char	*prog
op	4:20	0:0	2	=
op	4:22	0:0	2	*
water	4:23	0:0	2	argv
op	4:27	0:0	2	++
decl	5:3	5:47	2	int	to_linear
op	5:17	0:0	2	=
water	5:19	0:0	2	0
water	5:20	0:0	2	,
decl	5:3	5:47	2	int	to_gray
op	5:30	0:0	2	=
water	5:32	0:0	2	0
water	5:33	0:0	2	,
decl	5:3	5:47	2	int	to_color
op	5:44	0:0	2	=
water	5:46	0:0	2	0
decl	6:3	6:19	2	int	channels
op	6:16	0:0	2	=
water	6:18	0:0	2	0
decl	7:3	7:14	2	double	c[4]
call	12:3	12:26	2	fesetround
arg	12:14	12:26	3	FE_TONEAREST
water	12:14	0:0	4	FE_TONEAREST
water	12:27	0:0	2	;
water	13:3	0:0	2	c
op	13:4	0:0	2	[
water	13:5	0:0	2	3
op	13:6	0:0	2	]
op	13:8	0:0	2	=
water	13:10	0:0	2	c
op	13:11	0:0	2	[
water	13:12	0:0	2	2
op	13:13	0:0	2	]
op	13:15	0:0	2	=
water	13:17	0:0	2	c
op	13:18	0:0	2	[
water	13:19	0:0	2	1
op	13:20	0:0	2	]
op	13:22	0:0	2	=
water	13:24	0:0	2	c
op	13:25	0:0	2	[
water	13:26	0:0	2	0
op	13:27	0:0	2	]
op	13:29	0:0	2	=
water	13:31	0:0	2	0
water	13:32	0:0	2	;
while	14:3	27:3	2	(-- argc > 0 && * * argv == '-')
cond	14:10	14:34	3	-- argc > 0 && * * argv == '-'
op	14:10	0:0	4	--
water	14:12	0:0	4	argc
op	14:17	0:0	4	>
water	14:19	0:0	4	0
op	14:21	0:0	4	&&
op	14:24	0:0	4	*
op	14:25	0:0	4	*
water	14:26	0:0	4	argv
op	14:31	0:0	4	==
water	14:34	0:0	4	'-'
stmts	15:3	27:3	3	
water	15:3	0:0	4	{
decl	16:6	16:33	4	const char	*arg
op	16:22	0:0	4	=
water	16:24	0:0	4	1
op	16:25	0:0	4	+
op	16:26	0:0	4	*
water	16:27	0:0	4	argv
op	16:31	0:0	4	++
if	17:6	18:22	4	(strcmp (arg ,"sRGB" ) == 0)
cond	17:10	17:33	5	strcmp (arg ,"sRGB" ) == 0
call	17:10	17:28	6	strcmp
arg	17:17	17:20	7	arg
water	17:17	0:0	8	arg
arg	17:22	17:28	7	"sRGB"
water	17:22	0:0	8	"sRGB"
op	17:30	0:0	6	==
water	17:33	0:0	6	0
stmts	18:9	18:22	5	
water	18:9	0:0	6	to_linear
op	18:19	0:0	6	=
water	18:21	0:0	6	0
water	18:22	0:0	6	;
else	19:6	20:22	4
stmts	19:11	20:22	5	
if	19:11	20:22	6	(strcmp (arg ,"linear" ) == 0)
cond	19:15	19:40	7	strcmp (arg ,"linear" ) == 0
call	19:15	19:35	8	strcmp
arg	19:22	19:25	9	arg
water	19:22	0:0	10	arg
arg	19:27	19:35	9	"linear"
water	19:27	0:0	10	"linear"
op	19:37	0:0	8	==
water	19:40	0:0	8	0
stmts	20:9	20:22	7	
water	20:9	0:0	8	to_linear
op	20:19	0:0	8	=
water	20:21	0:0	8	1
water	20:22	0:0	8	;
else	21:6	22:34	4
stmts	21:11	22:34	5	
if	21:11	22:34	6	(strcmp (arg ,"gray" ) == 0)
cond	21:15	21:38	7	strcmp (arg ,"gray" ) == 0
call	21:15	21:33	8	strcmp
arg	21:22	21:25	9	arg
water	21:22	0:0	10	arg
arg	21:27	21:33	9	"gray"
water	21:27	0:0	10	"gray"
op	21:35	0:0	8	==
water	21:38	0:0	8	0
stmts	22:9	22:34	7	
water	22:9	0:0	8	to_gray
op	22:17	0:0	8	=
water	22:19	0:0	8	1
water	22:20	0:0	8	,
water	22:22	0:0	8	to_color
op	22:31	0:0	8	=
water	22:33	0:0	8	0
water	22:34	0:0	8	;
else	23:6	24:34	4
stmts	23:11	24:34	5	
