func	1:12	5:0	0	PNGCBAPI	read_function
params	2:13	0:0	1	
param	2:14	2:28	2	png_structp	pp
param	2:30	2:44	2	png_bytep	data
param	2:46	2:61	2	png_size_t	size
stmnts	4:3	4:54	1	
call	4:3	4:53	2	buffer_read
arg	4:15	4:25	3	get_dp(pp)
call	4:15	4:24	4	get_dp
arg	4:22	4:24	5	pp
water	4:22	0:0	6	pp
arg	4:27	4:41	3	get_buffer(pp)
call	4:27	4:40	4	get_buffer
arg	4:38	4:40	5	pp
water	4:38	0:0	6	pp
arg	4:43	4:47	3	data
water	4:43	0:0	4	data
arg	4:49	4:53	3	size
water	4:49	0:0	4	size
water	4:54	0:0	2	;
