func	2:0	10:0	0	static void	initimage
params	2:21	0:0	1	
param	2:22	2:34	2	Image *	image
param	2:36	2:52	2	png_uint_32	opts
param	2:54	2:75	2	const char *	file_name
param	3:3	3:19	2	int	stride_extra
stmnts	5:3	9:37	1	
call	5:3	5:18	2	freeimage
arg	5:13	5:18	3	image
water	5:13	0:0	4	image
water	5:19	0:0	2	;
call	6:3	6:47	2	memset
arg	6:10	6:23	3	&image->image
op	6:10	0:0	4	&
water	6:11	0:0	4	image
op	6:16	0:0	4	->
water	6:18	0:0	4	image
arg	6:25	6:26	3	0
water	6:25	0:0	4	0
arg	6:28	6:47	3	sizeofimage->image
op	6:28	0:0	4	sizeof
water	6:35	0:0	4	image
op	6:40	0:0	4	->
water	6:42	0:0	4	image
water	6:48	0:0	2	;
water	7:3	0:0	2	image
op	7:8	0:0	2	->
water	7:10	0:0	2	opts
op	7:15	0:0	2	=
water	7:17	0:0	2	opts
water	7:21	0:0	2	;
water	8:3	0:0	2	image
op	8:8	0:0	2	->
water	8:10	0:0	2	file_name
op	8:20	0:0	2	=
water	8:22	0:0	2	file_name
water	8:31	0:0	2	;
water	9:3	0:0	2	image
op	9:8	0:0	2	->
water	9:10	0:0	2	stride_extra
op	9:23	0:0	2	=
water	9:25	0:0	2	stride_extra
water	9:37	0:0	2	;
