func	1:0	79:0	0	static int	read_file
params	2:9	0:0	1	
param	2:10	2:22	2	Image *	image
param	2:24	2:42	2	png_uint_32	format
param	2:44	2:71	2	png_const_colorp	background
stmnts	4:3	78:3	1	
call	4:3	4:47	2	memset
arg	4:10	4:23	3	&image->image
op	4:10	0:0	4	&
water	4:11	0:0	4	image
op	4:16	0:0	4	->
water	4:18	0:0	4	image
arg	4:25	4:26	3	0
water	4:25	0:0	4	0
arg	4:28	4:47	3	sizeofimage->image
op	4:28	0:0	4	sizeof
water	4:35	0:0	4	image
op	4:40	0:0	4	->
water	4:42	0:0	4	image
water	4:48	0:0	2	;
water	5:3	0:0	2	image
op	5:8	0:0	2	->
water	5:10	0:0	2	image
op	5:15	0:0	2	.
water	5:16	0:0	2	version
op	5:24	0:0	2	=
water	5:26	0:0	2	PNG_IMAGE_VERSION
water	5:43	0:0	2	;
if	6:3	11:3	2	(image -> input_memory != NULL)
cond	6:7	6:30	3	image -> input_memory != NULL
water	6:7	0:0	4	image
op	6:12	0:0	4	->
water	6:14	0:0	4	input_memory
op	6:27	0:0	4	!=
water	6:30	0:0	4	NULL
stmts	7:3	11:3	3	
water	7:3	0:0	4	{
if	8:6	10:70	4	(!png_image_begin_read_from_memory (& image -> image ,image -> input_memory ,image -> input_memory_size ))
cond	8:10	9:33	5	!png_image_begin_read_from_memory (& image -> image ,image -> input_memory ,image -> input_memory_size )
op	8:10	0:0	6	!
call	8:11	9:33	6	png_image_begin_read_from_memory
arg	8:44	8:57	7	&image->image
op	8:44	0:0	8	&
water	8:45	0:0	8	image
op	8:50	0:0	8	->
water	8:52	0:0	8	image
arg	8:59	8:78	7	image->input_memory
water	8:59	0:0	8	image
op	8:64	0:0	8	->
water	8:66	0:0	8	input_memory
arg	9:9	9:33	7	image->input_memory_size
water	9:9	0:0	8	image
op	9:14	0:0	8	->
water	9:16	0:0	8	input_memory_size
stmts	10:9	10:70	5	
return	10:9	10:70	6	logerror(image,"memory init: ",image->file_name,"")
call	10:16	10:69	7	logerror
arg	10:25	10:30	8	image
water	10:25	0:0	9	image
arg	10:32	10:47	8	"memory init: "
water	10:32	0:0	9	"memory init: "
arg	10:49	10:65	8	image->file_name
water	10:49	0:0	9	image
op	10:54	0:0	9	->
water	10:56	0:0	9	file_name
arg	10:67	10:69	8	""
water	10:67	0:0	9	""
water	11:3	0:0	4	}
else	13:6	17:6	2
stmts	13:11	17:6	3	
if	13:11	17:6	4	(image -> input_file != NULL)
