func	2:0	56:0	0	int	main
params	2:8	0:0	1	
param	2:9	2:17	2	int	argc
param	2:19	2:36	2	const char * *	argv
stmnts	0:0	55:16	1	
decl	4:3	4:17	2	int	result
op	4:14	0:0	2	=
water	4:16	0:0	2	1
if	5:3	51:3	2	(argc == 3)
cond	5:7	5:15	3	argc == 3
water	5:7	0:0	4	argc
op	5:12	0:0	4	==
water	5:15	0:0	4	3
stmts	6:3	51:3	3	
water	6:3	0:0	4	{
decl	7:6	7:21	4	png_image	image
call	9:6	9:36	4	memset
arg	9:13	9:19	5	&image
op	9:13	0:0	6	&
water	9:14	0:0	6	image
arg	9:21	9:22	5	0
water	9:21	0:0	6	0
arg	9:24	9:36	5	sizeofimage
op	9:24	0:0	6	sizeof
water	9:31	0:0	6	image
water	9:37	0:0	4	;
water	10:6	0:0	4	image
op	10:11	0:0	4	.
water	10:12	0:0	4	version
op	10:20	0:0	4	=
water	10:22	0:0	4	PNG_IMAGE_VERSION
water	10:39	0:0	4	;
if	11:6	47:6	4	(png_image_begin_read_from_file (& image ,argv [ 1 ] ))
cond	11:10	11:56	5	png_image_begin_read_from_file (& image ,argv [ 1 ] )
call	11:10	11:56	6	png_image_begin_read_from_file
arg	11:41	11:47	7	&image
op	11:41	0:0	8	&
water	11:42	0:0	8	image
arg	11:49	11:56	7	argv[1]
water	11:49	0:0	8	argv
op	11:53	0:0	8	[
water	11:54	0:0	8	1
op	11:55	0:0	8	]
stmts	12:6	47:6	5	
water	12:6	0:0	6	{
decl	13:9	13:25	6	png_bytep	buffer
water	17:9	0:0	6	image
op	17:14	0:0	6	.
water	17:15	0:0	6	format
op	17:22	0:0	6	=
water	17:24	0:0	6	PNG_FORMAT_RGBA
water	17:39	0:0	6	;
water	18:9	0:0	6	buffer
op	18:16	0:0	6	=
call	18:18	18:46	6	malloc
arg	18:25	18:46	7	PNG_IMAGE_SIZE(image)
call	18:25	18:45	8	PNG_IMAGE_SIZE
arg	18:40	18:45	9	image
water	18:40	0:0	10	image
water	18:47	0:0	6	;
if	19:9	43:9	6	(buffer != NULL)
cond	19:13	19:23	7	buffer != NULL
water	19:13	0:0	8	buffer
op	19:20	0:0	8	!=
water	19:23	0:0	8	NULL
stmts	20:9	43:9	7	
water	20:9	0:0	8	{
if	21:12	32:12	8	(png_image_finish_read (& image ,NULL ,buffer ,0 ,NULL ))
cond	21:16	22:22	9	png_image_finish_read (& image ,NULL ,buffer ,0 ,NULL )
call	21:16	22:22	10	png_image_finish_read
arg	21:38	21:44	11	&image
op	21:38	0:0	12	&
water	21:39	0:0	12	image
arg	21:46	21:50	11	NULL
water	21:46	0:0	12	NULL
arg	21:52	21:58	11	buffer
water	21:52	0:0	12	buffer
arg	22:15	22:16	11	0
water	22:15	0:0	12	0
arg	22:18	22:22	11	NULL
water	22:18	0:0	12	NULL
stmts	23:12	32:12	9	
water	23:12	0:0	10	{
if	24:15	27:28	10	(png_image_write_to_file (& image ,argv [ 2 ] ,0 ,buffer ,0 ,NULL ))
cond	24:19	26:22	11	png_image_write_to_file (& image ,argv [ 2 ] ,0 ,buffer ,0 ,NULL )
call	24:19	26:22	12	png_image_write_to_file
arg	24:43	24:49	13	&image
op	24:43	0:0	14	&
water	24:44	0:0	14	image
arg	24:51	24:58	13	argv[2]
water	24:51	0:0	14	argv
op	24:55	0:0	14	[
water	24:56	0:0	14	2
op	24:57	0:0	14	]
arg	25:18	25:19	13	0
water	25:18	0:0	14	0
arg	25:21	25:27	13	buffer
water	25:21	0:0	14	buffer
arg	25:29	25:30	13	0
water	25:29	0:0	14	0
arg	26:18	26:22	13	NULL
water	26:18	0:0	14	NULL
stmts	27:18	27:28	11	
water	27:18	0:0	12	result
op	27:25	0:0	12	=
water	27:27	0:0	12	0
