func	1:0	163:0	0	static int	check
params	2:5	0:0	1	
param	2:6	2:14	2	FILE *	fp
param	2:16	2:24	2	int	argc
param	2:26	2:43	2	const char * *	argv
param	2:45	2:63	2	png_uint_32p	flags
param	3:3	3:13	2	display *	d
param	3:15	3:31	2	int	set_callback
stmnts	0:0	162:17	1	
decl	5:3	5:24	2	int	i
water	5:8	0:0	2	,
decl	5:3	5:24	2	int	npasses
water	5:17	0:0	2	,
decl	5:3	5:24	2	int	ipass
decl	6:3	6:21	2	png_uint_32	height
water	7:3	0:0	2	d
op	7:4	0:0	2	->
water	7:6	0:0	2	keep
op	7:11	0:0	2	=
water	7:13	0:0	2	PNG_HANDLE_CHUNK_AS_DEFAULT
water	7:40	0:0	2	;
water	8:3	0:0	2	d
op	8:4	0:0	2	->
water	8:6	0:0	2	before_IDAT
op	8:18	0:0	2	=
water	8:20	0:0	2	0
water	8:21	0:0	2	;
water	9:3	0:0	2	d
op	9:4	0:0	2	->
water	9:6	0:0	2	after_IDAT
op	9:17	0:0	2	=
water	9:19	0:0	2	0
water	9:20	0:0	2	;
water	13:3	0:0	2	d
op	13:4	0:0	2	->
water	13:6	0:0	2	png_ptr
op	13:14	0:0	2	=
call	13:16	14:13	2	png_create_read_struct
arg	13:39	13:60	3	PNG_LIBPNG_VER_STRING
water	13:39	0:0	4	PNG_LIBPNG_VER_STRING
arg	13:62	13:63	3	d
water	13:62	0:0	4	d
arg	13:65	13:70	3	error
water	13:65	0:0	4	error
arg	14:6	14:13	3	warning
water	14:6	0:0	4	warning
water	14:14	0:0	2	;
if	15:3	21:3	2	(d -> png_ptr == NULL)
cond	15:7	15:21	3	d -> png_ptr == NULL
water	15:7	0:0	4	d
op	15:8	0:0	4	->
water	15:10	0:0	4	png_ptr
op	15:18	0:0	4	==
water	15:21	0:0	4	NULL
stmts	16:3	21:3	3	
water	16:3	0:0	4	{
call	17:6	18:16	4	fprintf
arg	17:14	17:20	5	stderr
water	17:14	0:0	6	stderr
arg	17:22	17:63	5	"%s(%s): could not allocate png struct\n"
water	17:22	0:0	6	"%s(%s): could not allocate png struct\n"
arg	17:65	17:72	5	d->file
water	17:65	0:0	6	d
op	17:66	0:0	6	->
water	17:68	0:0	6	file
arg	18:9	18:16	5	d->test
water	18:9	0:0	6	d
op	18:10	0:0	6	->
water	18:12	0:0	6	test
water	18:17	0:0	4	;
call	20:6	20:12	4	exit
arg	20:11	20:12	5	1
water	20:11	0:0	6	1
water	20:13	0:0	4	;
water	21:3	0:0	4	}
water	22:3	0:0	2	d
op	22:4	0:0	2	->
water	22:6	0:0	2	info_ptr
op	22:15	0:0	2	=
call	22:17	22:50	2	png_create_info_struct
arg	22:40	22:50	3	d->png_ptr
water	22:40	0:0	4	d
op	22:41	0:0	4	->
water	22:43	0:0	4	png_ptr
water	22:51	0:0	2	;
water	23:3	0:0	2	d
op	23:4	0:0	2	->
water	23:6	0:0	2	end_ptr
op	23:14	0:0	2	=
call	23:16	23:49	2	png_create_info_struct
arg	23:39	23:49	3	d->png_ptr
water	23:39	0:0	4	d
op	23:40	0:0	4	->
water	23:42	0:0	4	png_ptr
water	23:50	0:0	2	;
if	24:3	30:3	2	(d -> info_ptr == NULL || d -> end_ptr == NULL)
cond	24:7	24:44	3	d -> info_ptr == NULL || d -> end_ptr == NULL
water	24:7	0:0	4	d
op	24:8	0:0	4	->
water	24:10	0:0	4	info_ptr
op	24:19	0:0	4	==
water	24:22	0:0	4	NULL
op	24:27	0:0	4	||
water	24:30	0:0	4	d
op	24:31	0:0	4	->
water	24:33	0:0	4	end_ptr
op	24:41	0:0	4	==
water	24:44	0:0	4	NULL
stmts	25:3	30:3	3	
water	25:3	0:0	4	{
