func	1:0	7:0	0	static size_t	standard_name_from_id
params	2:21	0:0	1	
param	2:22	2:34	2	char *	buffer
param	2:36	2:50	2	size_t	bufsize
param	2:52	2:62	2	size_t	pos
param	2:64	2:78	2	png_uint_32	id
stmnts	4:3	6:70	1	
return	4:3	6:70	2	standard_name(buffer,bufsize,pos,COL_FROM_ID(id),DEPTH_FROM_ID(id),PALETTE_FROM_ID(id),INTERLACE_FROM_ID(id),WIDTH_FROM_ID(id),HEIGHT_FROM_ID(id),DO_INTERLACE_FROM_ID(id))
call	4:10	6:69	3	standard_name
arg	4:24	4:30	4	buffer
water	4:24	0:0	5	buffer
arg	4:32	4:39	4	bufsize
water	4:32	0:0	5	bufsize
arg	4:41	4:44	4	pos
water	4:41	0:0	5	pos
arg	4:46	4:61	4	COL_FROM_ID(id)
call	4:46	4:60	5	COL_FROM_ID
arg	4:58	4:60	6	id
water	4:58	0:0	7	id
arg	5:6	5:23	4	DEPTH_FROM_ID(id)
call	5:6	5:22	5	DEPTH_FROM_ID
arg	5:20	5:22	6	id
water	5:20	0:0	7	id
arg	5:25	5:44	4	PALETTE_FROM_ID(id)
call	5:25	5:43	5	PALETTE_FROM_ID
arg	5:41	5:43	6	id
water	5:41	0:0	7	id
arg	5:46	5:67	4	INTERLACE_FROM_ID(id)
call	5:46	5:66	5	INTERLACE_FROM_ID
arg	5:64	5:66	6	id
water	5:64	0:0	7	id
arg	6:6	6:23	4	WIDTH_FROM_ID(id)
call	6:6	6:22	5	WIDTH_FROM_ID
arg	6:20	6:22	6	id
water	6:20	0:0	7	id
arg	6:25	6:43	4	HEIGHT_FROM_ID(id)
call	6:25	6:42	5	HEIGHT_FROM_ID
arg	6:40	6:42	6	id
water	6:40	0:0	7	id
arg	6:45	6:69	4	DO_INTERLACE_FROM_ID(id)
call	6:45	6:68	5	DO_INTERLACE_FROM_ID
arg	6:66	6:68	6	id
water	6:66	0:0	7	id
