func	2:0	17:0	0	static void	rpng2_win_finish_display
stmnts	4:4	16:18	1	
call	4:4	4:60	2	Trace
arg	4:10	4:60	3	(stderr,"beginning rpng2_win_finish_display()\n")
water	4:10	0:0	4	(
water	4:11	0:0	4	stderr
water	4:17	0:0	4	,
water	4:19	0:0	4	"beginning rpng2_win_finish_display()\n"
water	4:59	0:0	4	)
water	8:4	0:0	2	rpng2_info
op	8:14	0:0	2	.
water	8:15	0:0	2	state
op	8:21	0:0	2	=
water	8:23	0:0	2	kDone
water	8:28	0:0	2	;
call	9:4	15:4	2	printf
arg	11:6	15:4	3	"Done.  Press Q, Esc or mouse button 1 (within image window) to quit.\n""Done.  Press mouse button 1 (within image window) to quit.\n"
water	11:6	0:0	4	"Done.  Press Q, Esc or mouse button 1 (within image window) to quit.\n"
water	13:6	0:0	4	"Done.  Press mouse button 1 (within image window) to quit.\n"
water	15:5	0:0	2	;
call	16:4	16:17	2	fflush
arg	16:11	16:17	3	stdout
water	16:11	0:0	4	stdout
water	16:18	0:0	2	;
