func	1:0	6:0	0	static size_t	transform_rowsize
params	2:17	0:0	1	
param	2:18	2:38	2	png_const_structp	pp
param	2:40	2:60	2	png_byte	colour_type
param	3:3	3:21	2	png_byte	bit_depth
stmnts	5:3	5:70	1	
return	5:3	5:70	2	(TRANSFORM_WIDTH*bit_size(pp,colour_type,bit_depth))/8
water	5:10	0:0	3	(
water	5:11	0:0	3	TRANSFORM_WIDTH
call	5:27	5:64	3	*bit_size
arg	5:38	5:40	4	pp
water	5:38	0:0	5	pp
arg	5:42	5:53	4	colour_type
water	5:42	0:0	5	colour_type
arg	5:55	5:64	4	bit_depth
water	5:55	0:0	5	bit_depth
water	5:65	0:0	3	)
op	5:67	0:0	3	/
water	5:69	0:0	3	8
