func	2:0	80:0	0	static int	rpng_win_display_image
stmnts	0:0	79:12	1	
decl	4:4	4:19	2	uch	*src
water	4:12	0:0	2	,
decl	4:4	4:19	2	uch	*dest
decl	5:4	5:18	2	uch	r
water	5:9	0:0	2	,
decl	5:4	5:18	2	uch	g
water	5:12	0:0	2	,
decl	5:4	5:18	2	uch	b
water	5:15	0:0	2	,
decl	5:4	5:18	2	uch	a
decl	6:4	6:23	2	ulg	i
water	6:9	0:0	2	,
decl	6:4	6:23	2	ulg	row
water	6:14	0:0	2	,
decl	6:4	6:23	2	ulg	lastrow
decl	7:4	7:13	2	RECT	rect
call	8:4	9:21	2	Trace
arg	8:10	9:21	3	(stderr,"beginning display loop (image_channels == %d)\n",image_channels)
water	8:10	0:0	4	(
water	8:11	0:0	4	stderr
water	8:17	0:0	4	,
water	8:19	0:0	4	"beginning display loop (image_channels == %d)\n"
water	8:68	0:0	4	,
water	9:6	0:0	4	image_channels
water	9:20	0:0	4	)
call	10:4	11:51	2	Trace
arg	10:10	11:51	3	(stderr,"(width = %ld, rowbytes = %ld, wimage_rowbytes = %d)\n",image_width,image_rowbytes,wimage_rowbytes)
water	10:10	0:0	4	(
water	10:11	0:0	4	stderr
water	10:17	0:0	4	,
water	10:19	0:0	4	"(width = %ld, rowbytes = %ld, wimage_rowbytes = %d)\n"
water	10:74	0:0	4	,
water	11:6	0:0	4	image_width
water	11:17	0:0	4	,
water	11:19	0:0	4	image_rowbytes
water	11:33	0:0	4	,
water	11:35	0:0	4	wimage_rowbytes
water	11:50	0:0	4	)
water	17:4	0:0	2	for
water	17:8	0:0	2	(
water	17:9	0:0	2	lastrow
op	17:17	0:0	2	=
water	17:19	0:0	2	row
op	17:23	0:0	2	=
water	17:25	0:0	2	0
water	17:26	0:0	2	;
water	17:29	0:0	2	row
op	17:33	0:0	2	<
water	17:35	0:0	2	image_height
water	17:47	0:0	2	;
op	17:50	0:0	2	++
water	17:52	0:0	2	row
water	17:55	0:0	2	)
water	17:57	0:0	2	{
water	18:8	0:0	2	src
op	18:12	0:0	2	=
water	18:14	0:0	2	image_data
op	18:25	0:0	2	+
water	18:27	0:0	2	row
op	18:30	0:0	2	*
