func	1:0	154:0	0	int	main
stmnts	0:0	153:9	1	
decl	4:1	4:11	2	TIFF	*tif
decl	5:1	5:41	2	unsigned char	buf[SPP]
op	5:24	0:0	2	=
water	5:26	0:0	2	{
water	5:28	0:0	2	0
water	5:29	0:0	2	,
water	5:31	0:0	2	127
water	5:34	0:0	2	,
water	5:36	0:0	2	255
water	5:40	0:0	2	}
decl	6:1	6:48	2	uint64	dir_offset
op	6:28	0:0	2	=
water	6:30	0:0	2	0
water	6:31	0:0	2	,
decl	6:1	6:48	2	uint64	dir_offset2
op	6:45	0:0	2	=
water	6:47	0:0	2	0
decl	7:1	7:58	2	uint64	read_dir_offset
op	7:33	0:0	2	=
water	7:35	0:0	2	0
water	7:36	0:0	2	,
decl	7:1	7:58	2	uint64	read_dir_offset2
op	7:55	0:0	2	=
water	7:57	0:0	2	0
decl	8:1	8:40	2	uint64	*dir_offset2_ptr
op	8:34	0:0	2	=
water	8:36	0:0	2	NULL
decl	9:1	9:28	2	char	*ascii_value
decl	10:1	10:28	2	uint16	count16
op	10:25	0:0	2	=
water	10:27	0:0	2	0
water	12:1	0:0	2	tif
op	12:5	0:0	2	=
call	12:7	12:30	2	TIFFOpen
arg	12:16	12:24	3	filename
water	12:16	0:0	4	filename
arg	12:26	12:30	3	"w+"
water	12:26	0:0	4	"w+"
water	12:31	0:0	2	;
if	13:1	16:1	2	(! tif)
cond	13:5	13:6	3	! tif
op	13:5	0:0	4	!
water	13:6	0:0	4	tif
stmts	13:11	16:1	3	
water	13:11	0:0	4	{
call	14:2	14:64	4	fprintf
arg	14:11	14:17	5	stderr
water	14:11	0:0	6	stderr
arg	14:19	14:54	5	"Can't create test TIFF file %s.\n"
water	14:19	0:0	6	"Can't create test TIFF file %s.\n"
arg	14:56	14:64	5	filename
water	14:56	0:0	6	filename
water	14:65	0:0	4	;
return	15:2	15:10	4	1
water	15:9	0:0	5	1
water	16:1	0:0	4	}
if	17:1	20:1	2	(!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,width ))
cond	17:5	17:49	3	!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,width )
op	17:5	0:0	4	!
call	17:6	17:49	4	TIFFSetField
arg	17:19	17:22	5	tif
water	17:19	0:0	6	tif
arg	17:24	17:42	5	TIFFTAG_IMAGEWIDTH
water	17:24	0:0	6	TIFFTAG_IMAGEWIDTH
arg	17:44	17:49	5	width
water	17:44	0:0	6	width
stmts	17:52	20:1	3	
water	17:52	0:0	4	{
call	18:2	18:48	4	fprintf
arg	18:11	18:17	5	stderr
water	18:11	0:0	6	stderr
arg	18:19	18:48	5	"Can't set ImageWidth tag.\n"
water	18:19	0:0	6	"Can't set ImageWidth tag.\n"
water	18:49	0:0	4	;
goto	19:2	19:14	4	failure
water	19:7	0:0	5	failure
water	20:1	0:0	4	}
if	21:1	24:1	2	(!TIFFSetField (tif ,TIFFTAG_IMAGELENGTH ,length ))
cond	21:5	21:51	3	!TIFFSetField (tif ,TIFFTAG_IMAGELENGTH ,length )
op	21:5	0:0	4	!
call	21:6	21:51	4	TIFFSetField
arg	21:19	21:22	5	tif
water	21:19	0:0	6	tif
arg	21:24	21:43	5	TIFFTAG_IMAGELENGTH
water	21:24	0:0	6	TIFFTAG_IMAGELENGTH
arg	21:45	21:51	5	length
water	21:45	0:0	6	length
stmts	21:54	24:1	3	
water	21:54	0:0	4	{
call	22:2	22:49	4	fprintf
