func	1:0	94:0	0	int	main
stmnts	0:0	93:9	1	
decl	4:1	4:11	2	TIFF	*tif
decl	5:1	5:10	2	size_t	i
decl	6:1	6:38	2	unsigned char	buf[]
op	6:21	0:0	2	=
water	6:23	0:0	2	{
water	6:25	0:0	2	0
water	6:26	0:0	2	,
water	6:28	0:0	2	127
water	6:31	0:0	2	,
water	6:33	0:0	2	255
water	6:37	0:0	2	}
decl	7:1	7:13	2	char	*value
water	9:1	0:0	2	tif
op	9:5	0:0	2	=
call	9:7	9:29	2	TIFFOpen
arg	9:16	9:24	3	filename
water	9:16	0:0	4	filename
arg	9:26	9:29	3	"w"
water	9:26	0:0	4	"w"
water	9:30	0:0	2	;
if	10:1	13:1	2	(! tif)
cond	10:5	10:6	3	! tif
op	10:5	0:0	4	!
water	10:6	0:0	4	tif
stmts	10:11	13:1	3	
water	10:11	0:0	4	{
call	11:2	11:64	4	fprintf
arg	11:11	11:17	5	stderr
water	11:11	0:0	6	stderr
arg	11:19	11:54	5	"Can't create test TIFF file %s.\n"
water	11:19	0:0	6	"Can't create test TIFF file %s.\n"
arg	11:56	11:64	5	filename
water	11:56	0:0	6	filename
water	11:65	0:0	4	;
return	12:2	12:10	4	1
water	12:9	0:0	5	1
water	13:1	0:0	4	}
if	14:1	17:1	2	(!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,1 ))
cond	14:5	14:45	3	!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,1 )
op	14:5	0:0	4	!
call	14:6	14:45	4	TIFFSetField
arg	14:19	14:22	5	tif
water	14:19	0:0	6	tif
arg	14:24	14:42	5	TIFFTAG_IMAGEWIDTH
water	14:24	0:0	6	TIFFTAG_IMAGEWIDTH
arg	14:44	14:45	5	1
water	14:44	0:0	6	1
stmts	14:48	17:1	3	
water	14:48	0:0	4	{
call	15:2	15:48	4	fprintf
arg	15:11	15:17	5	stderr
water	15:11	0:0	6	stderr
arg	15:19	15:48	5	"Can't set ImageWidth tag.\n"
water	15:19	0:0	6	"Can't set ImageWidth tag.\n"
water	15:49	0:0	4	;
goto	16:2	16:14	4	failure
water	16:7	0:0	5	failure
water	17:1	0:0	4	}
if	18:1	21:1	2	(!TIFFSetField (tif ,TIFFTAG_IMAGELENGTH ,1 ))
cond	18:5	18:46	3	!TIFFSetField (tif ,TIFFTAG_IMAGELENGTH ,1 )
op	18:5	0:0	4	!
call	18:6	18:46	4	TIFFSetField
arg	18:19	18:22	5	tif
water	18:19	0:0	6	tif
arg	18:24	18:43	5	TIFFTAG_IMAGELENGTH
water	18:24	0:0	6	TIFFTAG_IMAGELENGTH
arg	18:45	18:46	5	1
water	18:45	0:0	6	1
stmts	18:49	21:1	3	
water	18:49	0:0	4	{
call	19:2	19:49	4	fprintf
arg	19:11	19:17	5	stderr
water	19:11	0:0	6	stderr
arg	19:19	19:49	5	"Can't set ImageLength tag.\n"
water	19:19	0:0	6	"Can't set ImageLength tag.\n"
water	19:50	0:0	4	;
goto	20:2	20:14	4	failure
water	20:7	0:0	5	failure
water	21:1	0:0	4	}
if	22:1	25:1	2	(!TIFFSetField (tif ,TIFFTAG_BITSPERSAMPLE ,8 ))
cond	22:5	22:48	3	!TIFFSetField (tif ,TIFFTAG_BITSPERSAMPLE ,8 )
op	22:5	0:0	4	!
call	22:6	22:48	4	TIFFSetField
