func	1:0	14:0	0	void	main
stmnts	0:0	13:10	1	
decl	3:1	3:19	2	TIFF	*tif
op	3:10	0:0	2	=
water	3:11	0:0	2	(
water	3:12	0:0	2	TIFF
op	3:16	0:0	2	*
water	3:17	0:0	2	)
water	3:18	0:0	2	0
water	4:1	0:0	2	tif
op	4:4	0:0	2	=
call	4:5	4:31	2	XTIFFOpen
arg	4:15	4:27	3	"newtif.tif"
water	4:15	0:0	4	"newtif.tif"
arg	4:28	4:31	3	"w"
water	4:28	0:0	4	"w"
water	4:32	0:0	2	;
if	5:1	5:23	2	(! tif)
cond	5:5	5:6	3	! tif
op	5:5	0:0	4	!
water	5:6	0:0	4	tif
stmts	5:11	5:23	3	
goto	5:11	5:23	4	failure
water	5:16	0:0	5	failure
call	6:1	6:23	2	SetUpTIFFDirectory
arg	6:20	6:23	3	tif
water	6:20	0:0	4	tif
water	6:24	0:0	2	;
call	7:1	7:15	2	WriteImage
arg	7:12	7:15	3	tif
water	7:12	0:0	4	tif
water	7:16	0:0	2	;
call	8:1	8:15	2	XTIFFClose
arg	8:12	8:15	3	tif
water	8:12	0:0	4	tif
water	8:16	0:0	2	;
call	9:1	9:8	2	exit
arg	9:7	9:8	3	0
water	9:7	0:0	4	0
water	9:9	0:0	2	;
label	10:0	10:7	2	failure :
call	11:1	11:30	2	printf
arg	11:8	11:30	3	"failure in maketif\n"
water	11:8	0:0	4	"failure in maketif\n"
water	11:31	0:0	2	;
if	12:1	12:25	2	(tif)
cond	12:5	12:5	3	tif
water	12:5	0:0	4	tif
stmts	12:10	12:25	3	
call	12:10	12:24	4	XTIFFClose
arg	12:21	12:24	5	tif
water	12:21	0:0	6	tif
water	12:25	0:0	4	;
call	13:1	13:9	2	exit
arg	13:7	13:9	3	-1
op	13:7	0:0	4	-
water	13:8	0:0	4	1
water	13:10	0:0	2	;
