func	1:0	6:0	0	static int	_tiffMapProc
params	2:12	0:0	1	
param	2:13	2:25	2	thandle_t	fd
param	2:27	2:41	2	tdata_t *	pbase
param	2:43	2:56	2	toff_t *	psize
stmnts	4:1	5:11	1	
water	4:1	0:0	2	(
water	4:2	0:0	2	void
water	4:6	0:0	2	)
water	4:8	0:0	2	fd
water	4:10	0:0	2	;
water	4:12	0:0	2	(
water	4:13	0:0	2	void
water	4:17	0:0	2	)
water	4:19	0:0	2	pbase
water	4:24	0:0	2	;
water	4:26	0:0	2	(
water	4:27	0:0	2	void
water	4:31	0:0	2	)
water	4:33	0:0	2	psize
water	4:38	0:0	2	;
return	5:1	5:11	2	(0)
water	5:8	0:0	3	(
water	5:9	0:0	3	0
water	5:10	0:0	3	)
