func	1:0	5:0	0	static tsize_t	_tiffReadProc
params	2:13	0:0	1	
param	2:14	2:26	2	thandle_t	fd
param	2:28	2:39	2	tdata_t	buf
param	2:41	2:53	2	tsize_t	size
stmnts	4:1	4:54	1	
return	4:1	4:54	2	((tsize_t)read((int)fd,buf,(size_t)size))
water	4:8	0:0	3	(
water	4:9	0:0	3	(
water	4:10	0:0	3	tsize_t
water	4:17	0:0	3	)
call	4:19	4:52	3	read
arg	4:24	4:32	4	(int)fd
water	4:24	0:0	5	(
water	4:25	0:0	5	int
water	4:28	0:0	5	)
water	4:30	0:0	5	fd
arg	4:34	4:37	4	buf
water	4:34	0:0	5	buf
arg	4:39	4:52	4	(size_t)size
water	4:39	0:0	5	(
water	4:40	0:0	5	size_t
water	4:46	0:0	5	)
water	4:48	0:0	5	size
water	4:53	0:0	3	)
