func	1:0	5:0	0	static tsize_t	_tiffWriteProc
params	2:14	0:0	1	
param	2:15	2:27	2	thandle_t	fd
param	2:29	2:40	2	tdata_t	buf
param	2:42	2:54	2	tsize_t	size
stmnts	4:1	4:55	1	
return	4:1	4:55	2	((tsize_t)write((int)fd,buf,(size_t)size))
water	4:8	0:0	3	(
water	4:9	0:0	3	(
water	4:10	0:0	3	tsize_t
water	4:17	0:0	3	)
call	4:19	4:53	3	write
arg	4:25	4:33	4	(int)fd
water	4:25	0:0	5	(
water	4:26	0:0	5	int
water	4:29	0:0	5	)
water	4:31	0:0	5	fd
arg	4:35	4:38	4	buf
water	4:35	0:0	5	buf
arg	4:40	4:53	4	(size_t)size
water	4:40	0:0	5	(
water	4:41	0:0	5	size_t
water	4:47	0:0	5	)
water	4:49	0:0	5	size
water	4:54	0:0	3	)
