func	1:0	6:0	0	int	TIFFVSetField
params	2:13	0:0	1	
param	2:14	2:23	2	TIFF *	tif
param	2:25	2:35	2	ttag_t	tag
param	2:37	2:47	2	va_list	ap
stmnts	4:1	5:55	1	
return	4:1	5:55	2	OkToChangeTag(tif,tag)?(*tif->tif_tagmethods.vsetfield)(tif,tag,ap):0
call	4:8	4:30	3	OkToChangeTag
arg	4:22	4:25	4	tif
water	4:22	0:0	5	tif
arg	4:27	4:30	4	tag
water	4:27	0:0	5	tag
water	4:32	0:0	3	?
call	5:5	5:50	3	(*tif->tif_tagmethods.vsetfield)
arg	5:38	5:41	4	tif
water	5:38	0:0	5	tif
arg	5:43	5:46	4	tag
water	5:43	0:0	5	tag
arg	5:48	5:50	4	ap
water	5:48	0:0	5	ap
water	5:52	0:0	3	:
water	5:54	0:0	3	0
