func	2:0	3:66	0	void	_TIFFsetDoubleArray
params	2:24	0:0	1	
param	2:25	2:37	2	double * *	dpp
param	2:39	2:49	2	double *	dp
param	2:51	2:59	2	uint32	n
stmnts	3:6	3:64	1	
call	3:6	3:63	2	setByteArray
arg	3:19	3:31	3	(void**)dpp
water	3:19	0:0	4	(
water	3:20	0:0	4	void
op	3:24	0:0	4	*
op	3:25	0:0	4	*
water	3:26	0:0	4	)
water	3:28	0:0	4	dpp
arg	3:33	3:43	3	(void*)dp
water	3:33	0:0	4	(
water	3:34	0:0	4	void
op	3:38	0:0	4	*
water	3:39	0:0	4	)
water	3:41	0:0	4	dp
arg	3:45	3:46	3	n
water	3:45	0:0	4	n
arg	3:48	3:63	3	sizeof(double)
op	3:48	0:0	4	sizeof
water	3:55	0:0	4	(
water	3:56	0:0	4	double
water	3:62	0:0	4	)
water	3:64	0:0	2	;
