func	1:0	5:0	0	static toff_t	_tiffSeekProc
params	2:13	0:0	1	
param	2:14	2:26	2	thandle_t	fd
param	2:28	2:38	2	toff_t	off
param	2:40	2:50	2	int	whence
stmnts	4:1	4:46	1	
return	4:1	4:46	2	(lseek((int)fd,(off_t)off,whence))
water	4:8	0:0	3	(
call	4:9	4:44	3	lseek
arg	4:15	4:23	4	(int)fd
water	4:15	0:0	5	(
water	4:16	0:0	5	int
water	4:19	0:0	5	)
water	4:21	0:0	5	fd
arg	4:25	4:36	4	(off_t)off
water	4:25	0:0	5	(
water	4:26	0:0	5	off_t
water	4:31	0:0	5	)
water	4:33	0:0	5	off
arg	4:38	4:44	4	whence
water	4:38	0:0	5	whence
water	4:45	0:0	3	)
