func	1:0	6:0	0	static toff_t	_tiffSizeProc
params	2:13	0:0	1	
param	2:14	2:26	2	thandle_t	fd
stmnts	0:0	5:51	1	
decl	4:1	4:15	2	struct stat	sb
return	5:1	5:51	2	(fstat((int)fd,&sb)<0?0:sb.st_size)
water	5:8	0:0	3	(
call	5:9	5:28	3	fstat
arg	5:15	5:23	4	(int)fd
water	5:15	0:0	5	(
water	5:16	0:0	5	int
water	5:19	0:0	5	)
water	5:21	0:0	5	fd
arg	5:25	5:28	4	&sb
op	5:25	0:0	5	&
water	5:26	0:0	5	sb
op	5:30	0:0	3	<
water	5:32	0:0	3	0
water	5:34	0:0	3	?
water	5:36	0:0	3	0
water	5:38	0:0	3	:
water	5:40	0:0	3	sb
op	5:42	0:0	3	.
water	5:43	0:0	3	st_size
water	5:50	0:0	3	)
