func	1:0	6:0	0	static int	TIFFWriteRational
params	2:17	0:0	1	
param	2:18	2:27	2	TIFF *	tif
param	3:4	3:21	2	TIFFDataType	type
param	3:23	3:33	2	ttag_t	tag
param	3:35	3:52	2	TIFFDirEntry *	dir
param	3:54	3:61	2	float	v
stmnts	5:1	5:60	1	
return	5:1	5:60	2	(TIFFWriteRationalArray(tif,type,tag,dir,1,&v))
water	5:8	0:0	3	(
call	5:9	5:58	3	TIFFWriteRationalArray
arg	5:32	5:35	4	tif
water	5:32	0:0	5	tif
arg	5:37	5:41	4	type
water	5:37	0:0	5	type
arg	5:43	5:46	4	tag
water	5:43	0:0	5	tag
arg	5:48	5:51	4	dir
water	5:48	0:0	5	dir
arg	5:53	5:54	4	1
water	5:53	0:0	5	1
arg	5:56	5:58	4	&v
op	5:56	0:0	5	&
water	5:57	0:0	5	v
water	5:59	0:0	3	)
