func	1:0	137:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:17	2	int	argc
param	1:19	1:30	2	char * *	argv
stmnts	0:0	136:11	1	
decl	3:4	3:37	2	char	*input_file
op	3:31	0:0	2	=
water	3:33	0:0	2	NULL
decl	4:4	4:44	2	double	image_gamma
op	4:32	0:0	2	=
water	4:34	0:0	2	TIFF_GAMMA
decl	5:4	5:24	2	int	i
water	5:21	0:0	2	,
decl	5:4	5:24	2	int	j
decl	6:4	6:23	2	TIFF	*tif
decl	7:4	7:29	2	unsigned char	*scan_line
decl	8:4	8:60	2	uint16	red[CMSIZE]
water	8:31	0:0	2	,
decl	8:4	8:60	2	uint16	green[CMSIZE]
water	8:46	0:0	2	,
decl	8:4	8:60	2	uint16	blue[CMSIZE]
decl	9:4	9:32	2	float	refblackwhite[2*3]
water	10:4	0:0	2	programName
op	10:16	0:0	2	=
water	10:18	0:0	2	argv
op	10:22	0:0	2	[
water	10:23	0:0	2	0
op	10:24	0:0	2	]
water	10:25	0:0	2	;
switch	11:4	25:4	2	(argc)
cond	11:12	11:12	3	argc
water	11:12	0:0	4	argc
stmts	11:18	25:4	3	
water	11:18	0:0	4	{
label	12:4	12:10	4	case 2 :
water	13:8	0:0	4	image_gamma
op	13:20	0:0	4	=
water	13:22	0:0	4	TIFF_GAMMA
water	13:32	0:0	4	;
water	14:8	0:0	4	input_file
op	14:19	0:0	4	=
water	14:21	0:0	4	argv
op	14:25	0:0	4	[
water	14:26	0:0	4	1
op	14:27	0:0	4	]
water	14:28	0:0	4	;
break	15:8	15:13	4	
label	16:4	16:10	4	case 4 :
if	17:8	20:8	4	(!strcmp (argv [ 1 ] ,"-gamma" ))
cond	17:12	17:37	5	!strcmp (argv [ 1 ] ,"-gamma" )
op	17:12	0:0	6	!
call	17:13	17:37	6	strcmp
arg	17:20	17:27	7	argv[1]
water	17:20	0:0	8	argv
op	17:24	0:0	8	[
water	17:25	0:0	8	1
op	17:26	0:0	8	]
arg	17:29	17:37	7	"-gamma"
water	17:29	0:0	8	"-gamma"
stmts	17:40	20:8	5	
water	17:40	0:0	6	{
water	18:12	0:0	6	image_gamma
op	18:24	0:0	6	=
call	18:26	18:38	6	atof
arg	18:31	18:38	7	argv[2]
water	18:31	0:0	8	argv
op	18:35	0:0	8	[
water	18:36	0:0	8	2
op	18:37	0:0	8	]
water	18:39	0:0	6	;
water	19:12	0:0	6	input_file
op	19:23	0:0	6	=
water	19:25	0:0	6	argv
op	19:29	0:0	6	[
water	19:30	0:0	6	3
op	19:31	0:0	6	]
water	19:32	0:0	6	;
water	20:8	0:0	6	}
else	20:10	21:19	4
stmts	21:12	21:19	5	
call	21:12	21:18	6	Usage
water	21:19	0:0	6	;
break	22:8	22:13	4	
label	23:4	23:11	4	default :
call	24:8	24:14	4	Usage
water	24:15	0:0	4	;
water	25:4	0:0	4	}
for	26:4	34:4	2	(i = 0 ;i < CMSIZE;i ++)
forinit	26:9	26:14	3	i = 0 ;
water	26:9	0:0	4	i
op	26:11	0:0	4	=
water	26:13	0:0	4	0
water	26:14	0:0	4	;
cond	26:16	26:20	3	i < CMSIZE
water	26:16	0:0	4	i
op	26:18	0:0	4	<
water	26:20	0:0	4	CMSIZE
forexpr	26:28	26:29	3	i ++
water	26:28	0:0	4	i
op	26:29	0:0	4	++
stmts	26:33	34:4	3	
water	26:33	0:0	4	{
if	27:8	28:43	4	(i == 0)
cond	27:12	27:17	5	i == 0
water	27:12	0:0	6	i
op	27:14	0:0	6	==
water	27:17	0:0	6	0
stmts	28:12	28:43	5	
water	28:12	0:0	6	red
op	28:15	0:0	6	[
water	28:16	0:0	6	i
op	28:17	0:0	6	]
op	28:19	0:0	6	=
water	28:21	0:0	6	green
op	28:26	0:0	6	[
water	28:27	0:0	6	i
op	28:28	0:0	6	]
op	28:30	0:0	6	=
water	28:32	0:0	6	blue
op	28:36	0:0	6	[
water	28:37	0:0	6	i
op	28:38	0:0	6	]
op	28:40	0:0	6	=
water	28:42	0:0	6	0
water	28:43	0:0	6	;
else	29:8	33:8	4
stmts	29:13	33:8	5	
water	29:13	0:0	6	{
water	30:12	0:0	6	red
op	30:15	0:0	6	[
water	30:16	0:0	6	i
op	30:17	0:0	6	]
op	30:19	0:0	6	=
call	30:21	30:72	6	ROUND
arg	30:27	30:72	7	(pow(i/255.0,1.0/image_gamma)*65535.0)
water	30:27	0:0	8	(
call	30:28	30:60	8	pow
arg	30:32	30:41	9	i/255.0
water	30:32	0:0	10	i
op	30:34	0:0	10	/
water	30:36	0:0	10	255
op	30:39	0:0	10	.
water	30:40	0:0	10	0
arg	30:43	30:60	9	1.0/image_gamma
water	30:43	0:0	10	1
op	30:44	0:0	10	.
water	30:45	0:0	10	0
op	30:47	0:0	10	/
water	30:49	0:0	10	image_gamma
op	30:62	0:0	8	*
water	30:64	0:0	8	65535
op	30:69	0:0	8	.
water	30:70	0:0	8	0
water	30:71	0:0	8	)
water	30:73	0:0	6	;
water	31:12	0:0	6	green
op	31:17	0:0	6	[
water	31:18	0:0	6	i
op	31:19	0:0	6	]
op	31:21	0:0	6	=
call	31:23	31:74	6	ROUND
arg	31:29	31:74	7	(pow(i/255.0,1.0/image_gamma)*65535.0)
water	31:29	0:0	8	(
call	31:30	31:62	8	pow
arg	31:34	31:43	9	i/255.0
water	31:34	0:0	10	i
op	31:36	0:0	10	/
water	31:38	0:0	10	255
op	31:41	0:0	10	.
water	31:42	0:0	10	0
arg	31:45	31:62	9	1.0/image_gamma
water	31:45	0:0	10	1
op	31:46	0:0	10	.
water	31:47	0:0	10	0
op	31:49	0:0	10	/
water	31:51	0:0	10	image_gamma
op	31:64	0:0	8	*
water	31:66	0:0	8	65535
op	31:71	0:0	8	.
water	31:72	0:0	8	0
water	31:73	0:0	8	)
water	31:75	0:0	6	;
water	32:12	0:0	6	blue
op	32:16	0:0	6	[
water	32:17	0:0	6	i
op	32:18	0:0	6	]
op	32:20	0:0	6	=
call	32:22	32:73	6	ROUND
arg	32:28	32:73	7	(pow(i/255.0,1.0/image_gamma)*65535.0)
water	32:28	0:0	8	(
call	32:29	32:61	8	pow
arg	32:33	32:42	9	i/255.0
water	32:33	0:0	10	i
op	32:35	0:0	10	/
water	32:37	0:0	10	255
op	32:40	0:0	10	.
water	32:41	0:0	10	0
arg	32:44	32:61	9	1.0/image_gamma
water	32:44	0:0	10	1
op	32:45	0:0	10	.
water	32:46	0:0	10	0
op	32:48	0:0	10	/
water	32:50	0:0	10	image_gamma
op	32:63	0:0	8	*
water	32:65	0:0	8	65535
op	32:70	0:0	8	.
water	32:71	0:0	8	0
water	32:72	0:0	8	)
water	32:74	0:0	6	;
water	33:8	0:0	6	}
water	34:4	0:0	4	}
water	35:4	0:0	2	refblackwhite
op	35:17	0:0	2	[
water	35:18	0:0	2	0
op	35:19	0:0	2	]
op	35:21	0:0	2	=
water	35:23	0:0	2	0
op	35:24	0:0	2	.
water	35:25	0:0	2	0
water	35:26	0:0	2	;
water	35:28	0:0	2	refblackwhite
op	35:41	0:0	2	[
water	35:42	0:0	2	1
op	35:43	0:0	2	]
op	35:45	0:0	2	=
water	35:47	0:0	2	255
op	35:50	0:0	2	.
water	35:51	0:0	2	0
water	35:52	0:0	2	;
water	36:4	0:0	2	refblackwhite
op	36:17	0:0	2	[
water	36:18	0:0	2	2
op	36:19	0:0	2	]
op	36:21	0:0	2	=
water	36:23	0:0	2	0
op	36:24	0:0	2	.
water	36:25	0:0	2	0
water	36:26	0:0	2	;
water	36:28	0:0	2	refblackwhite
op	36:41	0:0	2	[
water	36:42	0:0	2	3
op	36:43	0:0	2	]
op	36:45	0:0	2	=
water	36:47	0:0	2	255
op	36:50	0:0	2	.
water	36:51	0:0	2	0
water	36:52	0:0	2	;
water	37:4	0:0	2	refblackwhite
op	37:17	0:0	2	[
water	37:18	0:0	2	4
op	37:19	0:0	2	]
op	37:21	0:0	2	=
water	37:23	0:0	2	0
op	37:24	0:0	2	.
water	37:25	0:0	2	0
water	37:26	0:0	2	;
water	37:28	0:0	2	refblackwhite
op	37:41	0:0	2	[
water	37:42	0:0	2	5
op	37:43	0:0	2	]
op	37:45	0:0	2	=
water	37:47	0:0	2	255
op	37:50	0:0	2	.
water	37:51	0:0	2	0
water	37:52	0:0	2	;
if	38:4	41:4	2	(( tif =TIFFOpen (input_file ,"w" ) ) == NULL)
cond	38:8	38:45	3	( tif =TIFFOpen (input_file ,"w" ) ) == NULL
water	38:8	0:0	4	(
water	38:9	0:0	4	tif
op	38:13	0:0	4	=
call	38:15	38:39	4	TIFFOpen
arg	38:24	38:34	5	input_file
water	38:24	0:0	6	input_file
arg	38:36	38:39	5	"w"
water	38:36	0:0	6	"w"
water	38:40	0:0	4	)
op	38:42	0:0	4	==
water	38:45	0:0	4	NULL
stmts	38:51	41:4	3	
water	38:51	0:0	4	{
call	39:8	39:68	4	fprintf
arg	39:16	39:22	5	stderr
water	39:16	0:0	6	stderr
arg	39:24	39:56	5	"can't open %s as a TIFF file\n"
water	39:24	0:0	6	"can't open %s as a TIFF file\n"
arg	39:58	39:68	5	input_file
water	39:58	0:0	6	input_file
water	39:69	0:0	4	;
call	40:8	40:14	4	exit
arg	40:13	40:14	5	0
water	40:13	0:0	6	0
water	40:15	0:0	4	;
water	41:4	0:0	4	}
call	42:4	42:47	2	TIFFSetField
arg	42:17	42:20	3	tif
