func	1:7	5:0	0	int	write
params	1:16	0:0	1	
param	1:17	1:23	2	int	fd
param	1:25	1:40	2	const char *	buf
param	1:42	1:52	2	int	nbytes
stmnts	4:1	4:69	1	
return	4:1	4:69	2	(nbytes-osgbpb_write((os_f)fd,(constbyte*)buf,nbytes))
water	4:8	0:0	3	(
water	4:9	0:0	3	nbytes
op	4:16	0:0	3	-
call	4:18	4:67	3	osgbpb_write
arg	4:31	4:40	4	(os_f)fd
water	4:31	0:0	5	(
water	4:32	0:0	5	os_f
water	4:36	0:0	5	)
water	4:38	0:0	5	fd
arg	4:42	4:59	4	(constbyte*)buf
water	4:42	0:0	5	(
water	4:43	0:0	5	const
water	4:49	0:0	5	byte
op	4:53	0:0	5	*
water	4:54	0:0	5	)
water	4:56	0:0	5	buf
arg	4:61	4:67	4	nbytes
water	4:61	0:0	5	nbytes
water	4:68	0:0	3	)
