func	1:0	6:0	0	static int	t2p_mapproc
params	2:11	0:0	1	
param	2:12	2:28	2	thandle_t	handle
param	2:30	2:41	2	void * *	data
param	2:43	2:57	2	toff_t *	offset
stmnts	4:1	5:10	1	
water	4:1	0:0	2	(
water	4:2	0:0	2	void
water	4:6	0:0	2	)
water	4:8	0:0	2	handle
water	4:14	0:0	2	,
water	4:16	0:0	2	(
water	4:17	0:0	2	void
water	4:21	0:0	2	)
water	4:23	0:0	2	data
water	4:27	0:0	2	,
water	4:29	0:0	2	(
water	4:30	0:0	2	void
water	4:34	0:0	2	)
water	4:36	0:0	2	offset
water	4:42	0:0	2	;
return	5:1	5:10	2	-1
op	5:8	0:0	3	-
water	5:9	0:0	3	1
