func	1:0	6:0	0	static tmsize_t	t2p_readproc
params	2:12	0:0	1	
param	2:13	2:29	2	thandle_t	handle
param	2:31	2:43	2	tdata_t	data
param	2:45	2:58	2	tmsize_t	size
stmnts	4:1	5:10	1	
water	4:1	0:0	2	(
water	4:2	0:0	2	void
water	4:6	0:0	2	)
water	4:8	0:0	2	handle
water	4:14	0:0	2	,
water	4:16	0:0	2	(
water	4:17	0:0	2	void
water	4:21	0:0	2	)
water	4:23	0:0	2	data
water	4:27	0:0	2	,
water	4:29	0:0	2	(
water	4:30	0:0	2	void
water	4:34	0:0	2	)
water	4:36	0:0	2	size
water	4:40	0:0	2	;
return	5:1	5:10	2	-1
op	5:8	0:0	3	-
water	5:9	0:0	3	1
